Date,Aguascalientes,Chihuahua,Cuernavaca,Ecatepec de Morelos,Guadalajara,Mexico City,Monterrey,Morelia,Mérida,Oaxaca,Pachuca de Soto,Puebla,San Luis Potosí,Tepic,Toluca
2017-01-01,,2.65,16.642,,19.715999999999998,22.578000000000007,,11.765999999999998,1.4839999999999998,19.928,20.034000000000002,,8.798,5.3,24.592
2017-01-02,,18.55,21.094,23.638,25.758000000000006,32.43600000000001,,15.264,4.558,9.964,14.734000000000002,,7.6320000000000014,5.935999999999999,24.592
2017-01-03,,20.458,25.44,35.404,29.468000000000004,39.326,,21.412,2.2260000000000004,11.765999999999998,17.808000000000003,,23.956000000000003,7.844000000000001,31.482
2017-01-04,,21.306000000000004,29.15,,39.22,36.358000000000004,,19.715999999999998,3.074,13.25,16.748,,30.422,9.646,33.39
2017-01-05,,16.218000000000004,22.26,35.404,34.45,35.404,,18.125999999999998,4.0280000000000005,12.932,20.67,,25.44,8.48,28.514
2017-01-06,20.882,7.207999999999998,29.998,,33.178000000000004,40.28,,15.794,5.935999999999999,14.521999999999998,24.168000000000006,,8.798,9.116,32.43600000000001
2017-01-07,15.476,15.794,21.836,,30.952,34.45,,11.871999999999998,1.6960000000000002,6.678,15.051999999999998,,9.646,9.646,27.56
2017-01-08,11.236,15.9,13.25,,13.886,27.56,,7.95,2.756,4.452000000000001,6.995999999999999,,6.042000000000002,8.056000000000001,25.546000000000006
2017-01-09,12.614,18.974,17.701999999999995,,21.518,31.482,,9.857999999999999,4.77,6.784000000000002,14.204,,8.267999999999999,10.918,31.482
2017-01-10,15.794,16.642,23.108,,35.934,33.39,,11.448000000000002,5.724000000000001,5.935999999999999,17.384,,23.213999999999995,10.6,29.468000000000004
2017-01-11,23.213999999999995,8.692,30.316000000000006,,44.096,36.358000000000004,,18.762,5.405999999999999,9.328,17.913999999999994,,25.97,9.54,30.528
2017-01-12,34.025999999999996,6.678,29.574,,41.234,35.404,,20.246,5.935999999999999,,16.748,,28.196000000000005,14.416,32.43600000000001
2017-01-13,26.5,15.9,20.882,,37.418,31.482,,14.31,8.798,,13.356,,14.31,15.158,30.528
