Date,Aguascalientes,Chihuahua,Cuernavaca,Ecatepec de Morelos,Guadalajara,Mexico City,Monterrey,Morelia,Mérida,Oaxaca,Pachuca de Soto,Puebla,San Luis Potosí,Tepic,Toluca
2017-01-01,971.0,21.6,54.0,,43.2,52.92,,69.14285714285714,,73.18367346938777,10.8,,37.8,43.2,49.68
2017-01-02,149.9591836734694,32.4,37.8,,50.76,43.2,,75.20408163265307,,43.2,3.24,,31.32,39.96,55.0
2017-01-03,211.57142857142856,57.020408163265316,54.0,,63.08163265306122,63.08163265306122,,105.51020408163264,,59.04081632653061,2.16,,69.14285714285714,52.92,71.16326530612244
2017-01-04,103.48979591836736,59.04081632653061,50.76,,77.22448979591837,59.04081632653061,,105.51020408163264,,51.84,1.08,,69.14285714285714,57.020408163265316,73.18367346938777
2017-01-05,71.16326530612244,46.44,49.68,,55.0,61.061224489795926,,113.59183673469387,,54.0,4.32,,972.0,65.10204081632654,73.18367346938777
2017-01-06,59.04081632653061,32.4,46.44,,57.020408163265316,69.14285714285714,,107.53061224489795,,65.10204081632654,15.12,,,55.0,79.24489795918367
2017-01-07,55.0,43.2,48.6,,54.0,67.12244897959185,,87.32653061224491,,59.04081632653061,5.4,,,49.68,73.18367346938777
2017-01-08,30.24,54.0,32.4,,39.96,57.020408163265316,,31.32,,22.68,2.16,,,45.36,55.0
2017-01-09,28.08,63.08163265306122,37.8,,44.28,63.08163265306122,154.0,36.72,,32.4,4.32,,972.0,52.92,67.12244897959185
2017-01-10,50.76,59.04081632653061,46.44,,71.16326530612244,54.0,171.16326530612244,50.76,,32.4,9.72,,61.061224489795926,59.04081632653061,61.061224489795926
2017-01-11,89.3469387755102,32.4,61.061224489795926,,85.3061224489796,57.020408163265316,173.18367346938774,101.46938775510205,,39.96,35.64,,109.55102040816328,65.10204081632654,73.18367346938777
2017-01-12,111.57142857142857,32.4,54.0,,71.16326530612244,55.0,154.0,139.85714285714286,,,7.56,,917.0,61.061224489795926,79.24489795918367
2017-01-13,83.28571428571428,81.26530612244899,54.0,,71.16326530612244,55.0,67.12244897959185,79.24489795918367,,,6.48,,179.2448979591837,59.04081632653061,73.18367346938777
2017-01-14,48.6,55.0,39.96,,61.061224489795926,59.04081632653061,35.64,45.36,,,4.32,,44.28,67.12244897959185,61.061224489795926
2017-01-15,75.20408163265307,17.28,36.72,,57.020408163265316,49.68,43.2,48.6,,,5.4,,48.6,49.68,48.6
2017-01-16,65.10204081632654,48.6,50.76,,44.28,55.0,61.061224489795926,77.22448979591837,,44.28,5.4,,50.76,57.020408163265316,71.16326530612244
2017-01-17,67.12244897959185,32.4,48.6,,39.96,57.020408163265316,54.0,46.44,,47.52,7.56,,67.12244897959185,38.88,57.020408163265316
2017-01-18,43.2,47.52,103.48979591836736,,30.24,55.0,95.40816326530613,61.061224489795926,,55.0,3.24,,34.56,43.2,73.18367346938777
2017-01-19,39.96,30.24,42.12,,32.4,47.52,105.51020408163264,55.0,,39.96,14.04,,31.32,46.44,77.22448979591837
2017-01-20,39.96,23.76,38.88,,42.12,41.04,123.6938775510204,57.020408163265316,,54.0,9.72,,239.85714285714286,42.12,75.20408163265307
2017-01-21,30.24,52.92,32.4,,42.12,33.48,161.0612244897959,61.061224489795926,,51.84,14.04,,101.46938775510205,38.88,65.10204081632654
2017-01-22,31.32,39.96,30.24,,39.96,36.72,63.08163265306122,69.14285714285714,,42.12,9.72,,,36.72,57.020408163265316
2017-01-23,69.14285714285714,42.12,49.68,,69.14285714285714,59.04081632653061,69.14285714285714,105.51020408163264,,45.36,7.56,,,55.0,67.12244897959185
2017-01-24,85.3061224489796,38.88,55.0,,77.22448979591837,59.04081632653061,187.32653061224488,55.0,,49.68,8.64,,,59.04081632653061,79.24489795918367
2017-01-25,51.84,47.52,55.0,,39.96,59.04081632653061,93.3877551020408,54.0,,59.04081632653061,9.72,,972.0,50.76,73.18367346938777
2017-01-26,89.3469387755102,52.92,55.0,,55.0,81.26530612244899,47.52,91.36734693877553,,54.0,9.72,,,50.76,83.28571428571428
2017-01-27,73.18367346938777,36.72,46.44,,61.061224489795926,71.16326530612244,32.4,93.3877551020408,,42.12,11.88,,,55.0,81.26530612244899
2017-01-28,49.68,27.0,43.2,,52.92,77.22448979591837,8.64,59.04081632653061,,38.88,4.32,,,59.04081632653061,77.22448979591837
2017-01-29,34.56,41.04,31.32,,43.2,55.0,,36.72,,14.04,2.16,,,65.10204081632654,55.0
2017-01-30,48.6,54.0,73.18367346938777,,44.28,65.10204081632654,55.0,41.04,,21.6,3.24,,972.0,65.10204081632654,73.18367346938777
2017-01-31,63.08163265306122,71.16326530612244,69.14285714285714,,42.12,75.20408163265307,179.2448979591837,83.28571428571428,,39.96,3.24,,972.0,55.0,83.28571428571428
2017-02-01,57.020408163265316,69.14285714285714,65.10204081632654,,30.24,67.12244897959185,177.2244897959184,69.14285714285714,,45.36,3.24,,,59.04081632653061,73.18367346938777
2017-02-02,50.76,65.10204081632654,57.020408163265316,,42.12,59.04081632653061,123.6938775510204,41.04,,41.04,2.16,,48.6,83.28571428571428,59.04081632653061
2017-02-03,43.2,71.16326530612244,50.76,,54.0,63.08163265306122,83.28571428571428,41.04,,37.8,2.16,,57.020408163265316,71.16326530612244,69.14285714285714
2017-02-04,57.020408163265316,75.20408163265307,65.10204081632654,,50.76,52.92,44.28,46.44,,37.8,2.16,,44.28,67.12244897959185,69.14285714285714
2017-02-05,71.16326530612244,65.10204081632654,65.10204081632654,,47.52,45.36,85.3061224489796,44.28,,28.08,3.24,,41.04,71.16326530612244,47.52
2017-02-06,83.28571428571428,41.04,57.020408163265316,,36.72,43.2,154.0,55.0,,32.4,2.16,,65.10204081632654,43.2,61.061224489795926
2017-02-07,61.061224489795926,44.28,59.04081632653061,,51.84,67.12244897959185,99.44897959183672,83.28571428571428,,50.76,3.24,,65.10204081632654,69.14285714285714,77.22448979591837
2017-02-08,109.55102040816328,59.04081632653061,69.14285714285714,,69.14285714285714,61.061224489795926,91.36734693877553,113.59183673469387,,55.0,2.16,,47.52,75.20408163265307,83.28571428571428
2017-02-09,75.20408163265307,57.020408163265316,57.020408163265316,,69.14285714285714,65.10204081632654,57.020408163265316,75.20408163265307,,48.6,1.08,,54.0,69.14285714285714,81.26530612244899
2017-02-10,52.92,67.12244897959185,61.061224489795926,,55.0,63.08163265306122,105.51020408163264,59.04081632653061,,36.72,2.16,,51.84,67.12244897959185,93.3877551020408
2017-02-11,63.08163265306122,73.18367346938777,52.92,,77.22448979591837,63.08163265306122,189.34693877551018,51.84,,41.04,2.16,,45.36,59.04081632653061,89.3469387755102
2017-02-12,81.26530612244899,81.26530612244899,65.10204081632654,,47.52,63.08163265306122,97.42857142857143,83.28571428571428,,31.32,2.16,,45.36,50.76,69.14285714285714
2017-02-13,107.53061224489795,77.22448979591837,65.10204081632654,,57.020408163265316,63.08163265306122,59.04081632653061,65.10204081632654,,38.88,3.24,,75.20408163265307,51.84,77.22448979591837
2017-02-14,63.08163265306122,37.8,47.52,,48.6,52.92,52.92,52.92,,47.52,3.24,,48.6,50.76,79.24489795918367
2017-02-15,73.18367346938777,25.92,50.76,,59.04081632653061,51.84,37.8,73.18367346938777,,49.68,2.16,,73.18367346938777,44.28,71.16326530612244
2017-02-16,99.44897959183672,36.72,69.14285714285714,,65.10204081632654,45.36,49.68,67.12244897959185,,41.04,2.16,,51.84,31.32,59.04081632653061
2017-02-17,36.72,38.88,42.12,,33.48,35.64,95.40816326530613,32.4,,37.8,20.52,,34.56,41.04,55.0
2017-02-18,37.8,31.32,38.88,,24.84,48.6,99.44897959183672,36.72,,36.72,7.56,,30.24,31.32,63.08163265306122
2017-02-19,21.6,17.28,29.16,,16.2,30.24,87.32653061224491,31.32,,31.32,16.2,,16.2,14.04,49.68
2017-02-20,129.7551020408163,30.24,36.72,,24.84,27.0,50.76,37.8,,36.72,4.32,,14.04,21.6,48.6
2017-02-21,73.18367346938777,51.84,59.04081632653061,,41.04,55.0,35.64,63.08163265306122,,34.56,18.36,,44.28,41.04,65.10204081632654
2017-02-22,339.8571428571429,54.0,42.12,,46.44,48.6,63.08163265306122,43.2,,28.08,5.4,,42.12,38.88,63.08163265306122
2017-02-23,303.4897959183673,29.16,50.76,,35.64,55.0,,67.12244897959185,,32.4,10.8,,42.12,45.36,69.14285714285714
2017-02-24,79.24489795918367,33.48,30.24,,41.04,47.52,115.6122448979592,42.12,,33.48,3.24,,32.4,43.2,57.020408163265316
2017-02-25,73.18367346938777,49.68,95.40816326530613,,47.52,73.18367346938777,87.32653061224491,97.42857142857143,,34.56,3.24,,73.18367346938777,49.68,85.3061224489796
2017-02-26,36.72,39.96,69.14285714285714,,32.4,49.68,99.44897959183672,61.061224489795926,,38.88,3.24,,48.6,32.4,63.08163265306122
