Date,Aguascalientes,Chihuahua,Cuernavaca,Ecatepec de Morelos,Guadalajara,Mexico City,Monterrey,Morelia,Mérida,Oaxaca,Pachuca de Soto,Puebla,San Luis Potosí,Tepic,Toluca
2017-01-01,11.62,4.62,5.18,,1.96,3.01,,6.16,,2.24,3.36,,,2.8,4.06
2017-01-02,4.13,5.74,5.32,,2.17,3.01,,5.67,,1.96,1.47,,1.12,2.94,5.04
2017-01-03,4.48,6.09,13.02,,2.24,10.01,,6.02,,1.96,,,0.7,3.15,9.03
2017-01-04,3.36,6.02,13.51,,2.38,4.06,,7.28,,1.82,,,1.68,3.36,10.01
2017-01-05,6.72,5.6,11.13,4.06,2.45,4.06,,6.02,,1.82,3.36,,0.35,3.22,8.05
2017-01-06,4.34,4.83,6.23,,2.8,3.22,,6.02,,1.75,3.78,,1.61,3.15,6.02
2017-01-07,3.22,4.9,6.09,,2.31,6.02,,7.21,,1.33,1.61,,,3.22,4.06
2017-01-08,2.52,4.9,15.19,,2.1,12.04,,9.03,,1.12,1.12,,2.66,3.22,5.04
2017-01-09,2.38,5.53,9.1,,2.59,14.0,,6.16,0.42,1.26,1.12,,2.45,3.36,5.04
2017-01-10,4.27,5.6,9.59,,2.66,10.01,,9.1,,1.33,2.52,,2.03,3.36,5.04
2017-01-11,4.27,4.62,14.84,,2.8,5.04,,10.01,0.21,1.33,2.8,,1.54,3.36,6.02
2017-01-12,0.98,4.9,11.62,,3.01,4.13,,11.13,,,2.03,,0.77,3.22,7.0
2017-01-13,3.64,6.02,19.95,,2.38,3.01,,11.06,,,1.26,,0.77,3.36,6.02
2017-01-14,3.08,5.6,6.02,,2.24,9.03,,13.02,,,1.19,,0.63,3.36,6.02
2017-01-15,1.47,4.76,6.44,,2.31,5.67,,9.38,,,1.54,,0.98,3.22,5.04
2017-01-16,1.61,5.18,6.72,,2.17,4.06,,8.12,,1.75,1.89,,1.19,3.22,6.02
2017-01-17,2.24,4.97,5.11,,1.96,5.04,,9.1,0.07,2.03,2.17,,1.4,3.43,5.04
2017-01-18,3.71,5.74,6.23,,2.03,2.03,,7.0,,1.75,2.38,,1.54,2.94,6.02
2017-01-19,4.41,5.04,3.22,,1.75,3.01,,5.04,,2.03,1.82,,0.35,3.36,6.02
2017-01-20,3.64,4.83,2.94,,1.75,2.03,,5.04,,4.55,1.54,,2.24,3.15,6.02
2017-01-21,,4.83,3.15,,2.03,2.03,,5.11,,4.62,1.68,,2.38,2.94,6.02
2017-01-22,,4.9,3.15,,1.96,2.38,,7.0,,4.55,1.54,,1.4,3.01,6.02
2017-01-23,1.05,4.83,24.71,,2.38,4.06,,6.93,,4.62,2.17,,0.28,3.22,6.02
2017-01-24,0.77,7.91,8.89,,2.24,3.01,,6.58,,4.2,2.31,,0.14,3.22,6.02
2017-01-25,2.66,8.54,4.69,,2.17,3.01,,4.76,,4.76,2.66,,1.19,3.01,5.04
2017-01-26,3.01,6.02,5.6,,2.03,5.04,,7.91,,4.34,2.59,,0.91,3.01,6.02
2017-01-27,3.78,9.52,4.76,,2.45,4.06,,5.81,,4.55,2.59,,,3.01,6.02
2017-01-28,3.08,4.83,3.92,,2.38,4.06,,5.74,,4.41,1.82,,0.42,3.22,5.04
2017-01-29,2.17,6.72,4.06,,1.89,11.06,,5.81,,3.92,1.4,,1.47,2.94,5.04
2017-01-30,3.57,7.91,10.92,,2.24,14.0,,5.04,,4.13,1.12,,0.91,3.15,5.04
2017-01-31,0.63,7.0,10.15,,2.24,6.02,,7.49,,4.55,,,0.42,3.15,6.02
2017-02-01,,6.23,10.43,,1.82,6.02,,5.67,,4.62,,,,3.22,5.04
2017-02-02,3.43,6.51,6.37,,2.03,6.02,,4.83,,4.41,,,,3.36,6.02
2017-02-03,2.8,7.35,5.6,,2.03,3.36,,4.69,,4.34,,,1.12,3.43,6.02
2017-02-04,2.52,6.44,4.9,,2.17,4.13,,4.9,,4.55,,,1.54,3.36,6.02
2017-02-05,3.36,6.65,6.79,,1.75,4.06,,5.25,,4.83,,,0.7,3.43,5.04
2017-02-06,0.35,5.25,7.63,,1.82,4.06,,3.99,,4.76,,,1.19,3.5,6.02
2017-02-07,3.36,5.95,4.48,,1.96,3.15,,5.04,,5.04,,,2.24,4.06,6.02
2017-02-08,2.31,5.81,6.16,,2.66,3.01,,6.02,,4.76,,,1.4,4.2,6.02
2017-02-09,0.56,6.65,6.79,,2.45,2.03,,6.16,,4.55,,,0.56,4.13,5.04
2017-02-10,3.43,9.45,7.28,,2.24,4.48,,9.03,,4.41,,,0.63,3.85,6.44
2017-02-11,3.57,10.99,8.61,,2.31,6.02,,4.06,,4.76,,,0.56,3.85,7.0
2017-02-12,,7.35,7.07,,2.17,5.04,,6.09,,4.76,,,1.54,3.85,6.02
2017-02-13,0.56,5.25,6.51,,2.03,4.06,,4.62,0.21,4.62,,,0.98,3.71,6.86
2017-02-14,1.4,5.04,2.24,,2.03,3.57,,3.29,,4.41,3.71,,1.05,3.71,6.02
2017-02-15,3.15,5.04,2.52,,2.03,2.73,,4.13,,4.41,2.66,,1.19,3.5,6.02
2017-02-16,0.91,5.25,2.38,,1.89,2.1,,3.78,,4.34,2.8,,1.75,3.43,6.02
2017-02-17,1.61,5.04,1.61,,1.96,2.1,,3.29,,4.06,2.73,,2.31,3.5,5.04
2017-02-18,3.15,5.04,1.89,,1.82,2.03,,2.87,,4.06,2.8,,2.87,3.71,6.02
2017-02-19,1.12,4.83,1.47,,1.54,2.03,,3.01,,4.34,2.87,,1.54,3.43,6.02
2017-02-20,3.78,4.83,1.82,,2.03,2.03,,2.52,,4.83,2.8,,1.54,3.36,6.02
2017-02-21,3.64,5.32,7.0,,2.17,4.06,,8.05,,4.55,2.73,,1.54,3.64,6.02
2017-02-22,2.1,6.3,19.67,,2.17,5.04,,5.81,,4.55,2.8,,1.47,3.64,8.05
2017-02-23,1.19,4.83,3.01,,2.1,3.01,,4.06,,4.34,2.94,,0.63,3.71,8.05
2017-02-24,1.89,5.11,2.17,,2.03,2.66,,3.78,0.42,4.34,,,2.03,3.71,7.0
2017-02-25,,5.74,7.14,,2.31,4.06,,4.76,0.07,4.2,,,,3.85,7.0
2017-02-26,,9.03,7.21,,2.1,2.8,,4.06,,4.41,2.66,,0.14,3.5,7.0
2017-02-27,,9.17,5.04,,1.89,3.01,,3.99,,4.41,2.87,,1.54,3.85,7.0
2017-02-28,,9.17,9.17,,1.96,3.01,,4.83,,4.13,2.87,,0.28,3.92,7.0
2017-03-01,,5.74,8.96,,2.31,4.06,,5.53,,4.41,2.52,,,4.06,8.05
2017-03-02,,5.53,2.66,,2.52,2.24,,8.82,0.07,4.34,2.38,,0.56,4.2,9.03
2017-03-03,,6.3,3.36,,1.96,2.03,,9.03,0.07,3.5,2.38,,1.19,4.13,10.01
2017-03-04,,5.25,22.26,,1.96,5.04,,5.53,,4.2,2.38,,1.05,3.92,7.0
