,Contaminante,Fecha,aqip_median,cdmx_median
0,CO,2017-03-15,0.7832000000000001,0.7416666666666667
1,CO,2017-03-17,0.6864,0.7145833333333336
2,CO,2017-04-11,0.6864,0.5761904761904763
3,CO,2017-04-19,0.7832000000000001,0.6279166666666667
4,CO,2017-05-03,0.9856,0.85
5,CO,2017-05-06,0.6864,0.6250000000000001
6,CO,2017-05-10,0.7392000000000002,0.7100000000000001
7,CO,2017-02-01,0.88,0.7708333333333335
8,CO,2017-03-21,0.6160000000000001,0.6583333333333334
9,CO,2017-04-06,0.88,0.7416666666666666
10,CO,2017-05-08,0.6952000000000002,0.7083333333333334
11,CO,2017-05-23,0.6864,0.6333333333333334
12,CO,2017-05-25,0.6864,0.6583333333333333
13,CO,2017-06-16,0.5896000000000001,0.4857142857142859
14,CO,2017-06-18,0.4928,0.3895833333333334
15,CO,2017-06-27,0.6864,0.6304347826086957
16,CO,2017-02-14,0.792,0.775
17,CO,2017-02-20,0.4928,0.3583333333333334
18,CO,2017-04-02,0.6072000000000001,0.3916666666666666
19,CO,2017-05-05,0.7832000000000001,0.6738095238095239
20,CO,2017-05-14,0.5896000000000001,0.5333333333333333
21,CO,2017-01-26,0.9856,1.0604166666666668
22,CO,2017-02-03,0.6864,0.6874999999999999
23,CO,2017-03-08,0.5896000000000001,0.5812499999999999
24,CO,2017-03-23,0.7832000000000001,0.8999999999999998
25,CO,2017-01-06,1.1880000000000002,1.2395833333333333
26,CO,2017-01-12,0.88,0.8875000000000001
27,CO,2017-02-10,0.8888000000000001,0.8500000000000003
28,CO,2017-04-03,0.8184000000000001,0.6958333333333333
29,CO,2017-05-21,0.5896000000000001,0.4708333333333334
30,CO,2017-06-01,0.4928,0.5
31,CO,2017-06-08,0.5632,0.4708333333333333
32,CO,2017-06-17,0.4928,0.4125000000000001
33,CO,2017-02-24,0.6864,0.7625000000000001
34,CO,2017-06-14,0.4928,0.4395833333333334
35,CO,2017-02-26,0.6864,0.525
36,CO,2017-03-25,0.7128,0.6312500000000001
37,CO,2017-03-28,0.6864,0.5958333333333334
38,CO,2017-04-21,0.6864,0.5229166666666668
39,CO,2017-05-20,0.5896000000000001,0.5666666666666669
40,CO,2017-06-11,0.4928,0.425
41,CO,2017-02-19,0.5896000000000001,0.525
42,CO,2017-03-09,0.6864,0.7458333333333335
43,CO,2017-05-02,1.0824,0.7999999999999999
44,CO,2017-05-26,0.6864,0.6770833333333333
45,CO,2017-01-14,0.7832000000000001,0.7229166666666667
46,CO,2017-02-12,0.88,0.7145833333333333
47,CO,2017-03-03,0.4928,0.4916666666666666
48,CO,2017-03-26,0.7304,0.6020833333333333
49,CO,2017-04-05,0.9328,0.8857142857142856
50,CO,2017-04-30,0.7832000000000001,0.6749999999999999
51,CO,2017-06-13,0.5632,0.4833333333333333
52,CO,2017-01-08,0.7832000000000001,0.7291666666666666
53,CO,2017-01-18,0.7832000000000001,0.8583333333333335
54,CO,2017-03-07,0.5896000000000001,0.6479166666666667
55,CO,2017-03-13,0.6248,0.7083333333333331
56,CO,2017-04-16,0.4928,0.3826086956521741
57,CO,2017-06-04,0.4928,0.4428571428571429
58,CO,2017-03-12,0.5896000000000001,0.4952380952380952
59,CO,2017-06-25,0.396,0.3625
60,CO,2017-01-11,0.9856,0.9714285714285716
61,CO,2017-03-02,0.4928,0.4979166666666667
62,CO,2017-03-18,0.6688,0.5452380952380953
63,CO,2017-04-07,0.88,0.7479166666666666
64,CO,2017-05-13,0.5896000000000001,0.5666666666666665
65,CO,2017-05-30,0.396,0.4000000000000001
66,CO,2017-06-21,0.4928,0.4312500000000001
67,CO,2017-02-06,0.6864,0.6249999999999999
68,CO,2017-03-04,0.5456000000000001,0.5604166666666668
