date, pm25, pm10, o3, no2, so2, co
2020/6/5, 74, 41, 17, 2, 3, 
2020/6/6, 49, 44, 16, 3, 4, 
2020/6/7, 53, 44, 24, 5, 10, 
2020/6/8, 17, 36, 23, 4, 5, 4
2020/6/9, 68, 40, 26, 5, 7, 4
2020/6/11, 59, 33, 31, 10, 7, 5
2020/6/12, 55, 17, 23, 8, 2, 7
2020/6/13, 66, 47, 40, 14, 6, 6
2020/6/14, 64, 45, 45, 12, 3, 4
2020/6/15, 139, 31, 44, 5, 3, 4
2020/6/16, 65, 34, 31, 8, 3, 3
2020/6/24, 110, 40, 21, 3, 6, 4
2020/6/25, 56, 32, 30, 3, 4, 
2020/5/2, 63, 50, 32, 6, 13, 
2020/5/3, 61, 49, 32, 4, 11, 
2020/5/4, 65, 53, 29, 6, 9, 1
2020/5/5, 72, 56, 28, 5, 6, 
2020/5/6, 82, 43, 35, 7, 4, 
2020/5/7, 50, 43, 31, 5, 3, 
2020/5/8, 56, 43, 34, 7, 6, 1
2020/5/9, 67, 38, 27, 8, 2, 1
2020/5/10, 33, 44, 27, 7, 4, 2
2020/5/11, 44, 40, 25, 4, 3, 
2020/5/12, 41, 45, 29, 6, 4, 1
2020/5/13, 60, 47, 22, 5, 4, 
2020/5/14, 50, 44, 22, 4, 3, 
2020/5/15, 58, 58, 22, 5, 4, 
2020/5/16, 91, 56, 27, 6, 7, 1
2020/5/17, 83, 47, 29, 8, 4, 1
2020/5/18, 58, 49, 28, 9, 4, 
2020/5/19, 54, 53, 24, 8, 7, 1
2020/5/20, 66, 60, 24, 7, 4, 
2020/4/2, 59, 56, 20, 5, 14, 1
2020/4/3, 78, 55, 13, 5, 5, 1
2020/4/4, 71, 37, 12, 5, 3, 1
2020/4/5, 53, 29, 15, 4, 3, 1
2020/4/6, 22, 32, 16, 5, 3, 
2020/4/7, 46, 39, 18, 7, 5, 1
2020/4/8, 62, 56, 21, 10, 7, 1
2020/4/9, 78, 63, 26, 7, 8, 1
2020/4/10, 90, 44, 18, 4, 9, 
2020/4/11, 67, 44, 16, 5, 6, 1
2020/4/12, 70, 62, 38, 7, 3, 2
2020/4/13, 89, 53, 30, 8, 6, 1
2020/4/14, 59, 40, 20, 5, 3, 1
2020/4/15, 38, 36, 22, 5, 3, 1
2020/4/16, 36, 29, 18, 5, 3, 1
2020/4/17, 30, 38, 24, 8, 8, 1
2020/4/18, 50, 45, 19, 7, 3, 1
2020/4/19, 36, 53, 24, 9, 4, 2
2020/4/20, 64, 67, 27, 13, 7, 2
2020/4/21, 75, 72, 20, 4, 6, 1
2020/4/22, 140, 64, 28, 5, 9, 1
2020/4/23, 122, 58, 34, 11, 4, 3
2020/4/24, 85, 68, 39, 13, 15, 3
2020/4/25, 101, 67, 23, 7, 4, 2
2020/4/26, 102, 44, 29, 5, 3, 1
2020/4/27, 46, 50, 25, 5, 3, 1
2020/4/28, 62, 58, 31, 6, 10, 1
2020/4/29, 78, 53, 32, 9, 4, 1
2020/4/30, 64, 50, 31, 6, 3, 1
2020/5/1, 55, 49, 34, 9, 5, 1
2020/3/2, 60, 51, 20, 15, 7, 3
2020/3/3, 67, 69, 21, 16, 13, 3
2020/3/4, 107, 62, 21, 16, 5, 3
2020/3/5, 75, 32, 31, 9, 3, 2
2020/3/6, 29, 54, 33, 19, 10, 4
2020/3/7, 55, 47, 29, 8, 11, 2
2020/3/8, 55, 44, 25, 5, 4, 2
2020/3/9, 61, 52, 23, 10, 5, 3
2020/3/10, 69, 51, 19, 10, 8, 1
2020/3/11, 59, 52, 21, 5, 5, 1
2020/3/12, 76, 61, 24, 11, 11, 2
2020/3/13, 76, 53, 27, 8, 15, 1
2020/3/14, 74, 62, 25, 6, 8, 1
2020/3/15, 102, 39, 16, 4, 6, 1
2020/3/16, 42, , , , , 
2020/3/21, 65, 30, 13, 7, 3, 2
2020/3/22, 30, 32, 18, 6, 6, 1
2020/3/23, 49, 47, 23, 9, 4, 2
2020/3/24, 59, 57, 25, 11, 5, 1
2020/3/25, 68, 69, 25, 12, 7, 1
2020/3/26, 85, 63, 27, 5, 4, 1
2020/3/27, 90, 63, 32, 10, 13, 1
2020/3/28, 88, 64, 25, 6, 4, 
2020/3/29, 79, 45, 21, 5, 3, 
2020/3/30, 46, 49, 22, 10, 7, 1
2020/3/31, 72, 57, 28, 12, 7, 2
2020/4/1, 64, 52, 24, 5, 6, 
2020/2/2, 59, 52, 27, 10, 5, 22
2020/2/3, 77, 52, 23, 8, 4, 22
2020/2/4, 71, 98, 22, 17, 5, 31
2020/2/5, 93, 65, 19, 10, 2, 21
2020/2/6, 52, 53, 26, 10, 3, 21
2020/2/7, 48, 58, 30, 12, 2, 22
2020/2/8, 54, 49, 26, 7, 3, 20
2020/2/9, 62, 51, 31, 8, 7, 22
2020/2/10, 80, 70, 34, 10, 6, 25
2020/2/11, 91, 49, 12, 5, 1, 20
2020/2/12, 60, 32, 9, 4, 1, 20
2020/2/13, 52, 51, 28, 8, 3, 24
2020/2/14, 68, 41, 31, 10, 1, 24
2020/2/15, 61, 38, 22, 11, , 9
2020/2/16, 68, 69, 29, 23, 18, 14
2020/2/17, 104, 56, 25, 17, 3, 10
2020/2/18, 78, 53, 26, 9, 4, 7
2020/2/19, 76, 32, 13, 9, 2, 4
2020/2/20, 39, 25, 16, 7, 2, 1
2020/2/21, 27, 28, 25, 9, 7, 2
2020/2/22, 43, 32, 25, 7, 4, 2
2020/2/23, 58, 47, 29, 14, 9, 4
2020/2/25, 73, 51, 35, 12, 7, 2
2020/2/26, 58, 47, 30, 7, 3, 3
2020/2/27, 41, 45, 31, 16, 5, 4
2020/2/28, 50, 59, 31, 20, 12, 5
2020/2/29, 64, 49, 26, 12, 4, 2
2020/3/1, 54, 47, 36, 14, 9, 3
2020/1/2, 72, 35, 20, 7, 1, 22
2020/1/3, 42, 52, 29, 7, 1, 20
2020/1/4, 58, 48, 30, 10, 1, 23
2020/1/5, 60, 60, 32, 11, 2, 24
2020/1/6, 82, 68, 37, 15, 7, 25
2020/1/7, 84, 50, 31, 9, 4, 20
2020/1/8, 54, 57, 24, 9, 8, 20
2020/1/9, 70, 67, 19, 13, 2, 25
2020/1/10, 89, 57, 23, 9, 2, 20
2020/1/11, 83, 43, 33, 6, 3, 20
2020/1/12, 41, 50, 29, 10, 3, 22
2020/1/13, 63, 85, 25, 18, 5, 27
2020/1/14, 107, 93, 34, 20, 5, 29
2020/1/15, 134, 71, 20, 12, 1, 23
2020/1/16, 114, 39, 17, 5, 1, 19
