date, pm25, pm10, o3, no2, so2, co
2020/6/2, 33, 23, 26, , 11, 2
2020/6/3, 35, 28, 28, , 11, 2
2020/6/4, 39, 31, 26, , 11, 2
2020/6/5, 41, 35, 23, , 11, 2
2020/6/6, 50, 33, 28, , 11, 2
2020/6/7, 44, 30, 38, , 11, 2
2020/6/8, 35, 43, 44, , 12, 3
2020/6/9, 44, 59, 28, , 12, 3
2020/6/10, 59, 39, 27, , 12, 3
2020/6/11, 48, 25, 20, , 11, 3
2020/6/12, 50, 38, 40, , 11, 4
2020/6/13, 49, 35, 44, , 11, 3
2020/6/14, 48, 28, 39, , 11, 2
2020/6/15, 47, 26, 36, , 11, 2
2020/6/16, 45, 15, 10, , 12, 2
2020/6/17, 24, 23, 20, , 11, 2
2020/6/18, 38, 33, 23, , 11, 2
2020/6/19, 42, 28, 28, , 12, 3
2020/6/20, 44, 26, 22, , 11, 3
2020/6/21, 49, 31, 28, , 11, 3
2020/6/22, 54, 38, 30, , 12, 2
2020/6/23, 58, 44, 19, , 12, 2
2020/6/24, 64, 47, 22, , 12, 2
2020/6/25, 54, 8, 19, , 12, 2
2020/6/26, 18, , , , , 
2020/5/2, 49, 43, 60, , 10, 4
2020/5/3, 55, 41, 53, , 11, 4
2020/5/4, 55, 47, 57, , 11, 4
2020/5/5, 65, 73, 41, , 11, 5
2020/5/6, 84, 31, 46, , 11, 3
2020/5/7, 44, 32, 43, , 11, 3
2020/5/8, 53, 55, 35, , 11, 4
2020/5/9, 56, 27, 36, , 11, 3
2020/5/10, 46, 28, 35, , 10, 3
2020/5/11, 53, 22, 31, , 10, 3
2020/5/12, 35, 33, 53, , 10, 3
2020/5/13, 54, 39, 36, , 11, 3
2020/5/14, 55, 25, 33, , 11, 3
2020/5/15, 51, 53, 41, , 11, 4
2020/5/16, 87, 51, 43, , 11, 3
2020/5/17, 76, 39, 41, , 11, 4
2020/5/18, 52, 42, 48, , 11, 4
2020/5/19, 54, 47, 50, , 11, 4
2020/5/20, 59, 56, 54, , 12, 4
2020/5/21, 74, 53, 31, , 11, 4
2020/5/22, 91, 49, 41, , 11, 4
2020/5/23, 70, 46, 34, , 12, 3
2020/5/24, 65, 34, 33, , 11, 3
2020/5/25, 60, 38, 38, , 11, 4
2020/5/26, 61, 23, 32, , 11, 3
2020/5/27, 42, 38, 36, , 11, 4
2020/5/28, 48, 45, 30, , 11, 4
2020/5/29, 60, 30, 30, , 11, 2
2020/5/30, 31, 32, 27, , 11, 4
2020/5/31, 46, 32, 31, , 11, 3
2020/6/1, 46, 23, 31, , 11, 3
2020/4/2, 94, 53, 41, , 5, 21
2020/4/3, 114, 69, 22, , 8, 15
2020/4/4, 109, 25, 26, , 4, 10
2020/4/5, 85, 23, 21, , 4, 8
2020/4/7, 104, 42, 33, , 5, 17
2020/4/8, 107, 42, 28, , 9, 21
2020/4/9, 90, 46, 36, , 10, 23
2020/4/10, 91, 35, 30, , 10, 5
