date, pm25, pm10, o3, no2, so2, co
2020/6/2, 38, 19, , , 4, 
2020/6/3, 32, 25, , , 4, 
2020/6/4, 41, 22, , , 4, 
2020/6/5, 46, 21, , , 4, 
2020/6/6, 53, 23, , , 6, 
2020/6/7, 53, 22, , , 6, 
2020/6/8, 51, 30, , , 6, 
2020/6/9, 60, 31, , , 3, 
2020/6/10, 74, 25, , , 4, 
2020/6/11, 58, 17, , , 4, 
2020/6/12, 56, 33, , , 7, 
2020/6/13, 69, 35, , , 7, 
2020/6/14, 71, 32, , , 6, 
2020/6/15, 72, 28, , , 4, 
2020/6/16, 63, 21, , , 5, 
2020/6/17, 38, 13, , , 4, 
2020/6/18, 45, 19, , , 4, 
2020/6/19, 47, 11, , , 4, 
2020/6/20, 40, 14, , , 4, 
2020/6/21, 49, 15, , , 5, 
2020/6/22, 63, 40, , , 6, 
2020/6/23, 58, 22, , , 7, 
2020/6/24, 69, 25, , , 6, 
2020/6/25, 63, 14, , , 4, 
2020/6/26, 29, , , , , 
2020/5/2, 55, 36, , , 7, 
2020/5/3, 62, 34, , , 9, 
2020/5/4, 67, 40, , , 10, 
2020/5/5, 77, 42, , , 6, 
2020/5/6, 93, 28, , , 4, 
2020/5/7, 51, 32, , , 4, 
2020/5/8, 60, 36, , , 5, 
2020/5/9, 77, 41, , , 5, 
2020/5/10, 86, 39, , , 5, 
2020/5/11, 72, 29, , , 4, 
2020/5/12, 50, 35, , , 4, 
2020/5/13, 55, 43, , , 4, 
2020/5/14, 60, 33, , , 4, 
2020/5/15, 67, 38, , , 4, 
2020/5/16, 94, 33, , , 5, 
2020/5/17, 83, 33, , , 5, 
2020/5/18, 64, 39, , , 5, 
2020/5/19, 62, 41, , , 5, 
2020/5/20, 69, 44, , , 5, 
2020/5/21, 90, 46, , , 4, 
2020/5/22, 111, 37, , , 5, 
2020/5/23, 78, 42, , , 4, 
2020/5/24, 82, 32, , , 5, 
2020/5/25, 73, 29, , , 4, 
2020/5/26, 68, 20, , , 4, 
2020/5/27, 47, 37, , , 4, 
2020/5/28, 64, 36, , , 4, 
2020/5/29, 71, 32, , , 4, 
2020/5/30, 51, 37, , , 4, 
2020/5/31, 66, 26, , , 4, 
2020/6/1, 52, 18, , , 4, 
2020/4/2, 65, 39, , , 4, 
2020/4/3, 83, 35, , , 10, 
2020/4/4, 81, 37, , , 4, 
2020/4/5, 49, 20, , , 3, 
2020/4/6, 34, 22, , , 4, 
2020/4/7, 49, 29, , , 4, 
2020/4/8, 56, 47, , , 6, 
2020/4/9, 80, 46, , , 7, 
2020/4/10, 86, 35, , , 6, 
2020/4/11, 71, 29, , , 5, 
2020/4/12, 70, 46, , , 3, 
2020/4/13, 73, 41, , , 6, 
2020/4/14, 56, 29, , , 3, 
2020/4/15, 51, 24, , , 4, 
2020/4/16, 68, 21, , , 3, 
2020/4/17, 43, 34, , , 4, 
2020/4/18, 56, 55, , , 4, 
2020/4/19, 61, 38, , , 4, 
2020/4/20, 74, 47, , , 7, 
2020/4/21, 75, 55, , , 5, 
2020/4/22, 132, 49, , , 6, 
2020/4/23, 121, 44, , , 5, 
2020/4/24, 60, 60, , , 10, 
2020/4/25, 109, 60, , , 5, 
2020/4/26, 122, 33, , , 4, 
2020/4/27, 65, 39, , , 4, 
2020/4/28, 63, 43, , , 6, 
2020/4/29, 78, 46, , , 4, 
2020/4/30, 71, 42, , , 4, 
2020/5/1, 64, 39, , , 5, 
2020/3/11, 70, 45, , , 8, 
2020/3/12, 76, 33, , , 4, 
2020/3/13, 77, 43, , , 6, 
2020/3/14, 84, 43, , , 12, 
2020/3/15, 111, 49, , , 8, 
2020/3/16, 58, 26, , , 4, 
2020/3/21, 59, 28, , , 3, 
2020/3/22, 41, 19, , , 3, 
2020/3/23, 54, 27, , , 4, 
2020/3/24, 71, 38, , , 4, 
2020/3/25, 80, 45, , , 6, 
2020/3/26, 83, 44, , , 6, 
2020/3/27, 103, 46, , , 4, 
2020/3/28, 96, 50, , , 12, 
2020/3/29, 92, 46, , , 5, 
2020/3/30, 60, 32, , , 3, 
2020/3/31, 74, 36, , , 4, 
2020/4/1, 70, 41, , , 6, 
2020/2/2, 22, 41, , 18, 18, 2
2020/2/3, 28, 53, , 23, 20, 2
2020/2/4, 34, 74, , 29, 22, 2
2020/2/5, 12, 47, , 16, 20, 2
2020/2/6, 10, 30, , 13, 19, 2
2020/2/7, 12, , , 32, 41, 2
2020/2/8, 21, , , , , 
2020/1/3, 5, 27, , 2, 16, 1
2020/1/4, 6, 46, , 2, 16, 1
2020/1/5, 10, 40, , 2, 16, 2
2020/1/6, 18, 63, , 1, 12, 2
2020/1/7, 16, 92, , , , 1
2020/1/8, 7, 35, , , , 1
2020/1/9, 13, 44, , , , 2
2020/1/10, 28, 75, , , , 2
2020/1/11, 42, 92, , , , 1
2020/1/12, 8, 41, , , , 2
2020/1/13, 18, 62, , , , 2
2020/1/14, 30, 109, , , , 2
2020/1/15, 37, 114, , , , 2
2020/1/16, 39, 100, , , , 2
2020/1/17, 17, 42, , , , 2
2020/1/18, 11, 16, , , , 2
2020/1/19, 17, 25, , , , 1
2020/1/20, 9, 19, , , , 1
2020/1/21, 5, 27, , , , 1
2020/1/22, 5, 24, , , , 2
2020/1/23, 24, 41, , , , 2
2020/1/24, 17, 58, , , , 1
2020/1/25, 8, 36, , , , 2
2020/1/26, 31, 39, , , , 2
2020/1/27, 21, 58, , , , 2
2020/1/28, 11, 58, , , , 2
2020/1/29, 13, 36, , , , 1
2020/1/30, 9, 54, , , , 2
2020/1/31, 15, 40, , , , 2
2020/2/1, 24, 42, , , , 2
2019/10/2, 10, 34, , , , 
2019/10/3, 11, 32, , , , 
2019/10/4, 11, 37, , , , 
2019/10/5, 14, 48, , , , 
2019/10/6, 16, 43, , , , 
2019/10/7, 18, 33, , , , 
2019/10/8, 8, 48, , , , 
2019/10/9, 16, 44, , , , 
2019/10/10, 15, 44, , , , 
2019/10/11, 19, 67, , , , 
2019/10/18, 24, 65, , , , 
2019/10/19, 30, 56, , , , 
2019/10/20, 25, 46, , , , 
2019/10/21, 27, 49, , , , 
2019/10/22, 22, 40, , , , 
2019/10/23, 13, 34, , , , 
2019/10/24, 9, 26, , , , 
2019/10/25, 9, 49, , , , 
2019/10/26, 11, 68, , , , 
2019/10/27, 47, 64, , , , 
2019/10/28, 33, 31, , , , 
2019/10/29, 15, , , , , 
2019/11/30, 55, 142, , , , 
2019/12/1, 77, 59, , , , 
2019/12/2, 33, 35, , , , 
2019/12/11, 11, 53, , , , 1
2019/12/12, 12, 60, , , , 1
2019/12/13, 27, 147, , , , 2
2019/12/14, 19, 130, , , , 1
2019/12/15, 13, 126, , , , 2
2019/12/16, 17, 97, , , , 1
2019/12/17, 14, 39, , , , 1
2019/12/18, 5, 44, , , , 1
2019/12/19, 6, 54, , , , 1
2019/12/20, 11, 70, , , , 1
2019/12/21, 21, 40, , , , 2
2019/12/22, 20, 73, , , , 1
2019/12/23, 17, 79, , , , 2
2019/12/24, 20, 76, , , , 2
2019/12/25, 23, 64, , , , 2
2019/12/26, 54, 45, , , , 1
2019/12/27, 29, 38, , , , 1
2019/12/28, 19, 29, , 2, 15, 1
2019/12/29, 22, , , , , 
2019/7/2, 17, 30, , , , 2
2019/7/3, 15, 36, , , , 1
2019/7/4, 19, 45, , , , 2
2019/7/5, 25, 57, , , , 3
2019/7/6, 27, 33, , , , 3
2019/7/7, 13, 26, , , , 4
2019/7/8, 13, 38, , , , 3
2019/7/9, 16, 40, , , , 2
2019/7/10, 18, 37, , , , 2
2019/7/11, 19, 50, , , , 4
2019/7/12, 14, 37, , , , 1
2019/7/13, 13, 52, , , , 
2019/7/14, 21, 41, , , , 
2019/7/15, 20, 52, , , , 
2019/7/16, 18, 43, , , , 
2019/7/17, 13, 38, , , , 
2019/7/18, 11, 39, , , , 
2019/7/19, 13, 40, , , , 
2019/7/20, 13, 41, , , , 
2019/7/21, 17, 43, , , , 
2019/7/22, 18, 33, , , , 
2019/7/23, 12, 32, , , , 
2019/7/24, 10, 29, , , , 
2019/7/25, 11, 31, , , , 
2019/7/26, 12, 31, , , , 
2019/7/27, 10, 31, , , , 
2019/7/28, 11, 44, , , , 
2019/7/29, 17, 31, , , , 
2019/7/30, 11, 52, , , , 
2019/7/31, 19, 64, , , , 
2019/8/1, 24, 45, , , , 
2019/8/2, 16, 31, , , , 
2019/8/3, 8, 29, , , , 
2019/8/4, 9, 27, , , , 
2019/8/5, 8, 34, , , , 
2019/8/6, 8, 41, , , , 
2019/8/7, 16, 47, , , , 
2019/8/8, 18, 42, , , , 
2019/8/9, 16, 45, , , , 
2019/8/10, 18, 42, , , , 
2019/8/11, 15, 29, , , , 
2019/8/12, 10, 63, , , , 
2019/8/13, 19, 42, , , , 
2019/8/14, 13, 38, , , , 
2019/8/15, 15, 48, , , , 
2019/8/16, 17, 35, , , , 
2019/8/17, 11, 43, , , , 
2019/8/18, 18, 46, , , , 
2019/8/19, 19, 38, , , , 
2019/8/20, 12, 54, , , , 
2019/8/21, 19, 38, , , , 
2019/8/22, 11, 31, , , , 
2019/8/23, 10, 29, , , , 
2019/8/24, 9, 17, , , , 
2019/8/25, 12, 62, , , , 
2019/8/26, 14, 43, , , , 
2019/8/27, 14, 42, , , , 
2019/8/28, 16, 79, , , , 
2019/8/29, 32, 68, , , , 
2019/8/30, 22, 43, , , , 
2019/8/31, 21, 39, , , , 
2019/9/1, 20, 17, , , , 
2019/9/3, 16, 30, , , , 
2019/9/4, 13, 15, , , , 
2019/9/5, 9, 16, , , , 
2019/9/6, 4, 33, , , , 
2019/9/7, 8, 31, , , , 
2019/9/8, 17, 31, , , , 
2019/9/9, 13, 30, , , , 
2019/9/10, 16, 42, , , , 
2019/9/11, 12, 27, , , , 
2019/9/12, 12, , , , , 
2019/9/14, 8, 28, , , , 
2019/9/17, 12, 49, , , , 
2019/9/18, 10, 47, , , , 
2019/9/19, 15, 57, , , , 
2019/9/20, 18, 41, , , , 
2019/9/21, 19, 42, , , , 
2019/9/22, 18, 43, , , , 
2019/9/23, 14, 41, , , , 
2019/9/24, 15, 47, , , , 
2019/9/25, 14, 49, , , , 
2019/9/26, 13, 48, , , , 
2019/9/27, 18, 48, , , , 
2019/9/28, 18, 41, , , , 
2019/9/29, 13, 31, , , , 
2019/9/30, 13, 40, , , , 
2019/10/1, 8, 34, , , , 
2019/4/2, , , , , , 
2019/4/3, , , , , , 
2019/4/4, , , , , , 
2019/4/5, , , , , , 
2019/4/6, , , , , , 
2019/4/7, , , , , , 
2019/4/8, , , , , , 
2019/4/9, , , , , , 
2019/4/10, , , , , , 
2019/4/11, , , , , , 
2019/4/12, , , , , , 
2019/4/13, , , , , , 
2019/4/14, , , , , , 
2019/4/15, , , , , , 
2019/4/16, , , , , , 
2019/4/17, , , , , , 
2019/4/18, , , , , , 
2019/4/19, , , , , , 
2019/4/20, , , , , , 
2019/4/21, , , , , , 
2019/4/22, , , , , , 
2019/4/23, , , , , , 
2019/4/24, , , , , , 
2019/4/25, , , , , , 
2019/4/26, , , , , , 
2019/4/27, , , , , , 
2019/4/28, , , , , , 
2019/4/29, , , , , , 
2019/4/30, , , , , , 
2019/5/1, , , , , , 
2019/5/2, , , , , , 
2019/5/3, , , , , , 
2019/5/4, , , , , , 
2019/5/5, , , , , , 
2019/5/6, , , , , , 
2019/5/7, , , , , , 
2019/5/8, , , , , , 
2019/5/9, , , , , , 
2019/5/10, , , , , , 
2019/5/11, , , , , , 
2019/5/12, , , , , , 
2019/5/13, , , , , , 
2019/5/14, , , , , , 
2019/5/15, , , , , , 
2019/5/16, , , , , , 
2019/5/17, , , , , , 
2019/5/18, , , , , , 
2019/5/19, , , , , , 
2019/5/20, , , , , , 
2019/5/21, , , , , , 
2019/5/22, , , , , , 
2019/5/23, , , , , , 
2019/6/11, , , , , , 
2019/6/12, , , , , , 
2019/6/13, , , , , , 
2019/6/14, , , , , , 
2019/6/15, , , , , , 
2019/6/17, , , , , , 
2019/6/18, , , , , , 
2019/6/19, , , , , , 
2019/6/20, , , , , , 
2019/6/21, , , , , , 
2019/6/22, , , , , , 
2019/6/23, , , , , , 
2019/6/24, , , , , , 
2019/6/25, , , , , , 
2019/6/26, , , , , , 
2019/6/27, , , , , , 
2019/6/28, , 36, , , , 1
2019/6/29, 16, 37, , , , 2
2019/6/30, 18, 38, , , , 2
2019/7/1, 19, 37, , , , 3
2019/1/2, , , , , , 
2019/1/9, , , , , , 
2019/1/10, , , , , , 
2019/1/11, , , , , , 
2019/1/12, , , , , , 
2019/1/13, , , , , , 
2019/1/14, , , , , , 
2019/1/15, , , , , , 
2019/1/16, , , , , , 
2019/1/17, , , , , , 
2019/1/18, , , , , , 
2019/1/19, , , , , , 
2019/1/22, , , , , , 
2019/1/23, , , , , , 
2019/1/24, , , , , , 
2019/1/25, , , , , , 
2019/1/26, , , , , , 
2019/1/27, , , , , , 
2019/1/28, , , , , , 
2019/1/29, , , , , , 
2019/1/30, , , , , , 
2019/1/31, , , , , , 
2019/2/1, , , , , , 
2019/2/2, , , , , , 
2019/2/3, , , , , , 
2019/2/5, , , , , , 
2019/2/6, , , , , , 
2019/2/7, , , , , , 
2019/2/8, , , , , , 
2019/2/9, , , , , , 
2019/2/10, , , , , , 
2019/2/11, , , , , , 
2019/2/12, , , , , , 
2019/2/14, , , , , , 
2019/2/15, , , , , , 
2019/2/16, , , , , , 
2019/2/17, , , , , , 
2019/2/18, , , , , , 
2019/2/19, , , , , , 
2019/2/20, , , , , , 
2019/2/21, , , , , , 
2019/2/22, , , , , , 
2019/2/23, , , , , , 
2019/2/24, , , , , , 
2019/2/25, , , , , , 
2019/2/26, , , , , , 
2019/2/27, , , , , , 
2019/2/28, , , , , , 
2019/3/1, , , , , , 
2019/3/2, , , , , , 
2019/3/6, , , , , , 
2019/3/7, , , , , , 
2019/3/8, , , , , , 
2019/3/9, , , , , , 
2019/3/10, , , , , , 
2019/3/11, , , , , , 
2019/3/12, , , , , , 
2019/3/13, , , , , , 
2019/3/14, , , , , , 
2019/3/15, , , , , , 
2019/3/16, , , , , , 
2019/3/17, , , , , , 
2019/3/18, , , , , , 
2019/3/19, , , , , , 
2019/3/20, , , , , , 
2019/3/21, , , , , , 
2019/3/22, , , , , , 
2019/3/23, , , , , , 
2019/3/24, , , , , , 
2019/3/25, , , , , , 
2019/3/26, , , , , , 
2019/3/27, , , , , , 
2019/3/28, , , , , , 
2018/10/2, 7, 25, , , , 
2018/10/3, 7, 33, , , , 
2018/10/4, 10, 33, , , , 
2018/10/5, 11, 31, , , , 
2018/10/6, 10, 17, , , , 
2018/10/7, 7, , , , , 
2018/10/17, 7, 23, , , , 
2018/10/18, 4, 31, , , , 
2018/10/19, 7, 19, , , , 
2018/10/20, 4, , , , , 
2018/11/8, 41, 99, , , , 
2018/11/9, 37, 22, , , , 
2018/11/10, 8, 25, , , , 
2018/11/11, 8, 30, , , , 
2018/11/12, 34, 17, , , , 
2018/11/13, 11, 25, , , , 
2018/11/14, 7, 52, , , , 
2018/11/15, 19, 92, , , , 
2018/11/16, 42, 102, , , , 
2018/11/17, 34, 114, , , , 
2018/11/18, 49, 81, , , , 
2018/11/19, 41, 24, , , , 
2018/11/20, 17, 33, , , , 
2018/11/21, 15, 19, , , , 
2018/11/22, 17, 14, , , , 
2018/11/23, 12, 46, , , , 
2018/11/24, 31, 104, , , , 
2018/11/25, 43, 99, , , , 
2018/11/26, 39, 54, , , , 
2018/11/27, 11, , , , , 
2018/12/4, 14, 40, , , , 
2018/12/5, 11, 16, , , , 
2018/12/6, 6, 54, , , , 
2018/12/7, 42, 84, , , , 
2018/12/8, 28, 40, , , , 
2018/12/9, 14, 51, , , , 
2018/12/10, 25, 69, , , , 
2018/12/11, 30, 31, , , , 
2018/12/12, 15, 25, , , , 
2018/12/13, 74, , , , , 
2018/12/14, 28, 69, , , , 
2018/12/15, 9, 130, , , , 
2018/12/16, 39, 187, , , , 
2018/12/17, 70, 107, , , , 
2018/12/18, 31, 138, , , , 
2018/12/19, 33, 150, , , , 
2018/12/20, 41, 47, , , , 
2018/12/21, 10, 93, , , , 
2018/12/22, 26, 160, , , , 
2018/12/23, 69, 101, , , , 
2018/12/24, 43, 74, , , , 
2018/12/25, 25, 95, , , , 
2018/12/26, 56, 38, , , , 
2018/12/27, 22, 69, , , , 
2018/12/28, 26, 72, , , , 
2018/12/29, 22, 14, , , , 
2018/12/30, 12, 19, , , , 
2018/12/31, 12, , , , , 
2018/7/2, 2, 84, , , , 
2018/7/3, 3, 75, , , , 
2018/7/4, 2, 58, , , , 
2018/7/5, 3, 67, , , , 
2018/7/6, 2, 45, , , , 
2018/7/7, 2, 50, , , , 
2018/7/8, 3, 40, , , , 
2018/7/9, 3, 63, , , , 
2018/7/10, 3, 55, , , , 
2018/7/11, 3, 49, , , , 
2018/7/12, 2, 60, , , , 
2018/7/13, 2, 54, , , , 
2018/7/14, 2, 37, , , , 
2018/7/15, 2, 91, , , , 2
2018/7/16, 2, 106, , , , 2
2018/7/17, 3, 73, , , , 2
2018/7/18, 3, 69, , , , 2
2018/7/19, 2, 60, , , , 2
2018/7/20, 2, 62, , , , 2
2018/7/21, 2, 59, , , , 2
2018/7/22, 3, 78, , , , 2
2018/7/23, 2, 67, , , , 2
2018/7/24, 2, 85, , , , 2
2018/7/25, 2, 114, , , , 2
2018/7/26, 2, 59, , , , 2
2018/7/27, 2, 81, , , , 2
2018/7/28, 2, 79, , , , 2
2018/7/29, 3, , , , , 
2018/7/31, 2, 47, , , , 3
2018/8/1, 2, 44, , , , 3
2018/8/2, 2, 36, , , , 3
2018/8/3, 3, 41, , , , 3
2018/8/4, 3, 46, , , , 3
2018/8/5, 2, 28, , , , 3
2018/8/6, 2, 38, , , , 3
2018/8/7, 3, 35, , , , 3
2018/8/8, 3, 36, , , , 3
2018/8/9, 2, 56, , , , 3
2018/8/10, 3, 48, , , , 3
2018/8/11, 3, 43, , , , 3
2018/8/12, 3, 47, , , , 3
2018/8/13, 3, 63, , , , 3
2018/8/14, 3, 54, , , , 3
2018/8/15, 3, 54, , , , 3
2018/8/16, 2, 51, , , , 3
2018/8/17, 3, 48, , , , 3
2018/9/7, 6, 32, , , , 
2018/9/8, 10, 35, , , , 
2018/9/9, 12, 18, , , , 
2018/9/10, 15, 25, , , , 
2018/9/11, 8, 23, , , , 
2018/9/12, 5, 41, , , , 
2018/9/13, 13, 34, , , , 
2018/9/14, 8, 35, , , , 
2018/9/15, 8, 33, , , , 
2018/9/16, 13, 33, , , , 
2018/9/17, 15, 27, , , , 
2018/9/18, 12, 38, , , , 
2018/9/19, 12, 27, , , , 
2018/9/20, 7, 38, , , , 
2018/9/21, 12, 39, , , , 
2018/9/22, 15, 25, , , , 
2018/9/24, 16, 51, , , , 
2018/9/25, 19, 59, , , , 
2018/9/26, 21, 48, , , , 
2018/9/27, 19, 19, , , , 
2018/9/28, 6, 33, , , , 
2018/9/29, 13, 23, , , , 
2018/9/30, 3, 18, , , , 
2018/10/1, 7, 22, , , , 
2018/4/2, 2, 59, , , , 3
2018/4/3, 2, 63, , , , 5
2018/4/4, 2, 63, , , , 3
2018/4/5, 3, 59, , , , 4
2018/4/6, 3, 97, , , , 4
2018/4/7, 2, 84, , , , 4
2018/4/8, 3, 33, , , , 3
2018/4/9, 3, 70, , , , 5
2018/4/10, 3, 22, , , , 3
2018/4/11, 3, , , , , 4
2018/4/12, 3, 69, , , , 5
2018/4/13, 3, 104, , , , 4
2018/4/14, 3, 114, , , , 5
2018/4/15, 3, 73, , , , 4
2018/4/16, 2, 67, , , , 4
2018/4/17, 2, 69, , , , 3
2018/4/18, 2, 63, , , , 4
2018/4/19, 2, 35, , , , 3
2018/4/20, 3, 39, , , , 4
2018/4/21, 3, 60, , , , 4
2018/4/22, 3, 68, , , , 5
2018/4/23, 2, 31, , , , 4
2018/4/24, 3, 37, , , , 4
2018/4/25, 3, 42, , , , 3
2018/4/26, 3, 43, , , , 
2018/4/27, 3, 43, , , , 
2018/4/28, 3, 21, , , , 
2018/4/29, 3, 27, , , , 
2018/4/30, 3, 28, , , , 
2018/5/1, 3, 51, , , , 
2018/5/2, 3, 69, , , , 
2018/5/3, 3, 78, , , , 
2018/5/4, 3, 50, , , , 
2018/5/5, 3, 27, , , , 
2018/5/6, 4, 65, , , , 
2018/5/7, 2, 54, , , , 
2018/5/8, 2, 70, , , , 
2018/5/9, 2, 45, , , , 
2018/5/10, 3, 58, , , , 
2018/5/11, 3, 45, , , , 
2018/5/12, 3, 55, , , , 
2018/5/13, 3, 45, , , , 
2018/5/14, 3, 40, , , , 
2018/5/15, 3, 34, , , , 
2018/5/16, 3, 46, , , , 
2018/5/17, 3, 50, , , , 
2018/5/18, 3, 52, , , , 
2018/5/19, 2, 50, , , , 
2018/5/20, 3, 58, , , , 
2018/5/21, 3, 36, , , , 
2018/5/22, 3, 28, , , , 
2018/5/23, 3, 33, , , , 
2018/5/24, 3, 58, , , , 
2018/5/25, 3, 45, , , , 
2018/5/26, 3, 52, , , , 
2018/5/27, 2, 43, , , , 
2018/5/28, 2, 48, , , , 
2018/5/29, 2, 40, , , , 
2018/5/30, 3, 43, , , , 
2018/5/31, 3, 49, , , , 
2018/6/1, 3, 57, , , , 
2018/6/2, 3, 53, , , , 
2018/6/3, 2, 39, , , , 
2018/6/4, 2, 41, , , , 
2018/6/5, 2, 47, , , , 
2018/6/6, 2, 51, , , , 
2018/6/7, 2, 50, , , , 
2018/6/8, 3, 55, , , , 
2018/6/9, 3, 52, , , , 
2018/6/10, 2, 45, , , , 
2018/6/11, 2, 63, , , , 
2018/6/12, 2, 49, , , , 
2018/6/13, 3, 42, , , , 
2018/6/14, 3, 29, , , , 
2018/6/15, 3, 30, , , , 
2018/6/16, 3, 34, , , , 
2018/6/17, 3, 35, , , , 
2018/6/18, 3, 33, , , , 
2018/6/19, 3, 44, , , , 
2018/6/20, 3, 48, , , , 
2018/6/21, 3, 21, , , , 
2018/6/22, 3, 49, , , , 
2018/6/23, 1, , , , , 
2018/6/26, 3, 31, , , , 
2018/6/27, 3, 35, , , , 
2018/6/28, 3, 39, , , , 
2018/6/29, 3, 45, , , , 
2018/6/30, 3, , , , , 
2018/2/12, 2, 95, , , , 5
2018/2/15, 3, 44, , , , 3
2018/2/16, 3, 92, , , , 4
2018/2/17, 3, 98, , , , 4
2018/2/18, 3, 66, , , , 3
2018/2/19, 3, 51, , , , 3
2018/2/20, 3, 56, , , , 3
2018/2/21, 3, 51, , , , 3
2018/2/22, 3, 66, , , , 3
2018/2/23, 3, 21, , , , 3
2018/2/24, 3, 38, , , , 3
2018/2/25, 3, 86, , , , 4
2018/2/26, 3, 62, , , , 3
2018/2/27, 4, 54, , , , 3
2018/2/28, 3, 68, , , , 4
2018/3/1, 3, 109, , , , 3
2018/3/2, 2, 101, , , , 4
2018/3/3, 2, 84, , , , 3
2018/3/4, 3, 57, , , , 3
2018/3/5, 3, 57, , , , 3
2018/3/6, 3, 66, , , , 3
2018/3/7, 2, 49, , , , 2
2018/3/8, 2, 54, , , , 3
2018/3/9, 2, 49, , , , 3
2018/3/10, 3, 45, , , , 3
2018/3/11, 2, 63, , , , 5
2018/3/12, 2, 62, , , , 3
2018/3/13, 2, 37, , , , 3
2018/3/14, 2, 51, , , , 3
2018/3/15, 3, 36, , , , 3
2018/3/16, 3, 52, , , , 3
2018/3/17, 3, 95, , , , 4
2018/3/18, 3, 66, , , , 4
2018/3/19, 3, 72, , , , 3
2018/3/20, 3, 96, , , , 4
2018/3/21, 2, 78, , , , 3
2018/3/22, 2, 48, , , , 3
2018/3/23, 3, 37, , , , 3
2018/3/24, 3, 48, , , , 3
2018/3/25, 3, 76, , , , 5
2018/3/26, 2, 60, , , , 4
2018/3/27, 3, 61, , , , 4
2018/3/28, 3, 60, , , , 4
2018/3/29, 3, 60, , , , 5
2018/3/30, 3, 47, , , , 4
2018/3/31, 2, 53, , , , 4
2018/4/1, 2, 46, , , , 4
2017/10/26, 3, 112, , , , 1
2017/11/10, 4, 43, , , , 1
2017/11/14, 4, 120, , , , 1
2017/11/15, 4, 128, , , , 1
2017/11/21, 2, 96, , , , 1
2017/11/23, 2, 68, , , , 1
2017/11/26, 3, 242, , , , 3
2017/11/27, 1, 74, , , , 2
2017/12/1, 3, 103, , , , 2
2017/12/10, 2, 66, , , , 2
2017/12/13, 3, 117, , , , 2
2017/12/14, 3, 168, , , , 3
2017/12/16, 4, 18, , , , 2
2017/12/18, 5, 103, , , , 3
2017/12/19, 4, 72, , , , 2
2017/8/5, 3, 66, , , , 
2017/8/10, 4, 55, , , , 
2017/4/12, 3, 64, , , , 
2017/4/20, 4, 60, , , , 
2017/5/11, 4, 63, , , , 1
2017/6/17, 1, 47, , , , 2
2017/2/16, 2, 60, , , , 
2017/3/9, 4, 44, , , , 
2017/3/22, 2, 72, , , , 
2016/12/14, 5, 76, , , , 
2016/12/26, 4, 84, , , , 
2020/3/2, , 45, , , 5, 
2020/3/3, , 53, , , 6, 
2020/3/4, , 45, , , 4, 
2020/3/5, , 30, , , 4, 
2020/3/6, , 40, , , 9, 
2020/3/7, , 30, , , 7, 
2020/3/8, , 28, , , 5, 
2020/3/9, , 28, , , 4, 
2020/3/10, , 40, , , 5, 
2020/2/25, , 496, , 2, 18, 
2020/2/26, , 54, , , 6, 
2020/2/27, , 34, , , 7, 
2020/2/28, , 39, , , 9, 
2020/2/29, , 39, , , 6, 
2020/3/1, , 42, , , 6, 
2020/1/2, , 24, , 2, 15, 1
2019/10/12, , 35, , , , 
2019/10/13, , 41, , , , 
2019/10/14, , 50, , , , 
2019/10/15, , 47, , , , 
2019/10/16, , 32, , , , 
2019/10/17, , 42, , , , 
