date, pm25, pm10, o3, no2, so2, co
2020/6/2, 33, 20, , , , 
2020/6/3, 33, 22, , , , 
2020/6/4, 34, 24, , , , 
2020/6/5, 38, 32, , , , 
2020/6/6, 47, 27, , , , 
2020/6/7, 43, 21, , , , 
2020/6/8, 30, 27, , , , 
2020/6/9, 36, 32, , , , 
2020/6/10, 45, 23, , , , 
2020/6/11, 32, 20, , , , 
2020/6/12, 39, 31, , , , 
2020/6/13, 41, 29, , , , 
2020/6/14, 45, 22, , , , 
2020/6/15, 38, 22, , , , 
2020/6/16, 34, 15, , , , 
2020/6/17, 19, 20, , , , 
2020/6/18, 31, 14, , , , 
2020/6/19, 32, 22, , , , 
2020/6/20, 33, 20, , , , 
2020/6/21, 38, 23, , , , 
2020/6/22, 47, 25, , , , 
2020/6/23, 42, 30, , , , 
2020/6/24, 53, 28, , , , 
2020/6/25, 49, 10, , , , 
2020/6/26, 19, , , , , 
2020/5/2, 41, 29, , , , 
2020/5/3, 46, 28, , , , 
2020/5/4, 57, 36, , , , 
2020/5/5, 61, 44, , , , 
2020/5/6, 73, 22, , , , 
2020/5/7, 37, 23, , , , 
2020/5/8, 42, 32, , , , 
2020/5/9, 55, 19, , , , 
2020/5/10, 34, 22, , , , 
2020/5/11, 48, 16, , , , 
2020/5/12, 26, 22, , , , 
2020/5/13, 45, 22, , , , 
2020/5/14, 47, 19, , , , 
2020/5/15, 44, 37, , , , 
2020/5/16, 74, 32, , , , 
2020/5/17, 62, 28, , , , 
2020/5/18, 48, 31, , , , 
2020/5/19, 47, 35, , , , 
2020/5/20, 51, 40, , , , 
2020/5/21, 65, 39, , , , 
2020/5/22, 77, 36, , , , 
2020/5/23, 63, 33, , , , 
2020/5/24, 58, 24, , , , 
2020/5/25, 53, 29, , , , 
2020/5/26, 54, 19, , , , 
2020/5/27, 39, 31, , , , 
2020/5/28, 46, 35, , , , 
2020/5/29, 55, 24, , , , 
2020/5/30, 29, 33, , , , 
2020/5/31, 45, 23, , , , 
2020/6/1, 43, 24, , , , 
2020/4/2, 48, 31, , , , 
2020/4/3, 59, 37, , , , 
2020/4/4, 68, 20, , , , 
2020/4/5, 42, 17, , , , 
2020/4/6, 41, 23, , , , 
2020/4/7, 48, 27, , , , 
2020/4/8, 57, 35, , , , 
2020/4/9, 56, 36, , , , 
2020/4/10, 58, 22, , , , 
2020/4/11, 50, 28, , , , 
2020/4/12, 56, 36, , , , 
2020/4/13, 36, 33, , , , 
2020/4/14, 36, 31, , , , 
2020/4/15, 51, 14, , , , 
2020/4/16, 33, 15, , , , 
2020/4/17, 32, 26, , , , 
2020/4/18, 44, 25, , , , 
2020/4/19, 46, 29, , , , 
2020/4/20, 42, 37, , , , 
2020/4/21, 51, 51, , , , 
2020/4/22, 99, 49, , , , 
2020/4/23, 93, 36, , , , 
2020/4/24, 59, 46, , , , 
2020/4/25, 70, 53, , , , 
2020/4/26, 82, 17, , , , 
2020/4/27, 40, 29, , , , 
2020/4/28, 52, 36, , , , 
2020/4/29, 59, 30, , , , 
2020/4/30, 39, 21, , , , 
2020/5/1, 38, 29, , , , 
2020/3/2, 53, 56, , , , 
2020/3/3, 55, 52, , , , 
2020/3/4, 79, 43, , , , 
2020/3/5, 43, 20, , , , 
2020/3/6, 18, 29, , , , 
2020/3/7, 28, 25, , , , 
2020/3/8, 40, 27, , , , 
2020/3/9, 55, 32, , , , 
2020/3/10, 54, 33, , , , 
2020/3/11, 48, 30, , , , 
2020/3/12, 51, 52, , , , 
2020/3/13, 66, 49, , , , 
2020/3/14, 67, 52, , , , 
2020/3/15, 90, 27, , , , 
2020/3/16, 50, , , , , 
2020/3/21, 56, 12, , , , 
2020/3/22, 34, 30, , , , 
2020/3/23, 64, 42, , , , 
