date, pm25, pm10, o3, no2, so2, co
2020/6/2, 40, 12, 31, 2, 3, 17
2020/6/3, 32, 16, 36, 2, 3, 18
2020/6/4, 44, 20, 42, 2, 3, 18
2020/6/5, 45, 19, 28, 2, 4, 18
2020/6/6, 44, 17, 43, 2, 4, 18
2020/6/7, 41, 15, 55, 2, 4, 19
2020/6/8, 33, 26, 72, 5, 5, 20
2020/6/9, 47, 43, 67, 8, 6, 22
2020/6/10, 68, 19, 51, 4, 3, 20
2020/6/11, 42, 29, 31, 6, 3, 21
2020/6/12, 45, 29, 67, 5, 5, 21
2020/6/13, 47, 23, 91, 2, 4, 19
2020/6/14, 48, 22, 86, 2, 5, 19
2020/6/15, 51, 29, 46, 6, 5, 21
2020/6/16, 52, 7, 20, 1, 3, 20
2020/6/17, 20, 12, 34, 2, 3, 21
2020/6/18, 35, 20, 39, 2, 3, 21
2020/6/19, 40, 19, 43, 5, 5, 22
2020/6/20, 37, 16, 19, 4, 4, 22
2020/6/21, 42, 20, 44, 3, 4, 23
2020/6/22, 55, 20, 32, 4, 4, 22
2020/6/23, 49, 31, 42, 4, 5, 23
2020/6/24, 68, 34, 49, 5, 6, 24
2020/6/25, 58, 7, 26, 3, 3, 23
2020/6/26, 19, , , , , 
2020/5/2, 49, 35, 74, 6, 4, 13
2020/5/3, 56, 24, 65, 5, 6, 12
2020/5/4, 59, 35, 60, 8, 7, 14
2020/5/5, 66, 43, 67, 7, 6, 15
2020/5/6, 86, 19, 66, 4, 4, 12
2020/5/7, 42, 18, 44, 4, 4, 13
2020/5/8, 49, 30, 73, 9, 5, 15
2020/5/9, 61, 14, 40, 4, 3, 13
2020/5/10, 41, 15, 39, 2, 3, 13
2020/5/11, 41, 14, 35, 2, 3, 13
2020/5/12, 29, 22, 68, 5, 4, 14
2020/5/13, 51, 24, 39, 4, 3, 14
2020/5/14, 53, 14, 38, 3, 4, 14
2020/5/15, 42, 44, 52, 5, 4, 16
2020/5/16, 90, 37, 58, 4, 4, 15
2020/5/17, 73, 25, 62, 6, 6, 15
2020/5/18, 54, 29, 62, 9, 7, 17
2020/5/19, 52, 34, 95, 8, 6, 17
2020/5/20, 61, 41, 68, 7, 7, 17
2020/5/21, 81, 39, 37, 3, 4, 16
2020/5/22, 90, 32, 80, 6, 6, 17
2020/5/23, 73, 25, 47, 2, 3, 16
2020/5/24, 60, 17, 45, 2, 3, 16
2020/5/25, 56, 24, 46, 3, 5, 16
2020/5/26, 60, 14, 47, 4, 4, 17
2020/5/27, 39, 20, 44, 4, 4, 17
2020/4/2, 88, 37, 50, 3, 4, 5
2020/4/3, 123, 46, 25, 3, 4, 6
2020/4/4, 119, 30, 28, 4, 4, 6
2020/4/5, 101, 10, 21, 3, 3, 5
2020/4/7, 124, 30, 43, 5, 3, 7
2020/4/8, 114, 39, 58, 4, 3, 7
2020/4/9, 122, 40, 75, 3, 4, 7
2020/4/10, 113, 27, 34, 1, 4, 7
2020/4/11, 111, 26, 49, , 3, 7
2020/4/12, 145, 40, 56, , 2, 6
2020/4/13, 90, 34, 51, , 5, 6
2020/4/14, 102, 32, 33, , 3, 6
2020/4/15, 110, 18, 38, , 4, 7
2020/4/16, 103, 14, 24, , 3, 7
2020/4/18, 128, 24, 37, , 3, 8
2020/4/19, 114, 27, 41, , 4, 8
2020/4/20, 102, 31, 55, , 5, 8
2020/4/21, 63, 55, 47, , 4, 10
2020/4/22, 49, 53, 84, 6, 5, 12
2020/4/23, 75, 36, 76, 5, 4, 10
2020/4/24, 69, 41, 101, 8, 4, 11
2020/4/25, 74, 53, 44, 7, 4, 12
2020/4/26, 98, 19, 43, 3, 3, 11
2020/4/27, 47, 25, 38, 4, 2, 11
2020/4/28, 50, 38, 72, 7, 4, 13
2020/4/29, 71, 31, 52, 8, 3, 11
2020/4/30, 47, 20, 43, 3, 3, 11
2020/5/1, 43, 28, 71, 7, 4, 12
2020/3/2, 84, 50, 23, 12, 9, 35
2020/3/3, 89, 69, 23, 10, 11, 36
2020/3/4, 134, 52, 38, 7, 4, 31
2020/3/5, 82, 26, 41, 6, 5, 30
2020/3/6, 55, 29, 44, 5, 4, 31
2020/3/7, 63, 28, 45, 3, 4, 31
2020/3/8, 78, 34, 37, 4, 4, 32
2020/3/9, 99, 37, 30, 6, 3, 33
2020/3/10, 101, 47, 29, 7, 6, 35
2020/3/11, 103, 39, 37, 5, 3, 34
2020/3/12, 101, 50, 51, 9, 6, 37
2020/3/13, 106, 53, 64, 8, 7, 37
2020/3/14, 107, 56, 60, 5, 5, 35
2020/3/15, 135, 31, 19, 3, 4, 34
2020/3/16, 85, , , , , 
2020/3/21, 96, 12, 18, 5, 2, 37
2020/3/22, 61, 35, 29, 5, 5, 37
2020/3/23, 116, 50, 55, 7, 5, 39
2020/3/24, 122, 49, 61, 6, 5, 39
2020/3/25, 116, 41, 57, 4, 6, 37
2020/3/26, 107, 51, 62, 5, 7, 38
2020/3/27, 132, 53, 72, 8, 12, 39
2020/3/28, 123, 55, 40, 4, 5, 38
2020/3/29, 121, 37, 31, 3, 4, 37
2020/3/30, 98, 58, 52, 8, 13, 41
2020/3/31, 144, 42, 56, 5, 5, 38
2020/4/1, 105, 29, 40, 2, 3, 23
2020/2/2, 108, 52, 49, 11, 8, 25
2020/2/3, 120, 57, 32, 15, 9, 28
2020/2/6, 60, 66, 37, 7, 6, 23
2020/2/7, 63, 61, 42, 12, 9, 26
2020/2/8, 95, 49, 41, 10, 7, 27
2020/2/9, 90, 36, 47, 8, 8, 25
2020/2/10, 92, 59, 61, 9, 5, 28
2020/2/11, 110, 18, 5, 6, 3, 26
2020/2/12, 56, 39, 7, 6, 4, 29
2020/2/13, 92, 40, 36, 5, 4, 30
2020/2/14, 77, 21, 32, 5, 3, 25
2020/2/15, 78, 42, 24, 10, 7, 27
2020/2/16, 114, 49, 70, 10, 11, 31
2020/2/17, 152, 56, 59, 13, 7, 33
