date, pm25, pm10, o3, no2, so2, co
2020/6/2, 48, 22, , , , 
2020/6/3, 36, 28, , , , 
2020/6/4, 45, 18, , , , 
2020/6/5, 46, 27, , , , 
2020/6/6, 51, 24, , , , 
2020/6/7, 43, 22, , , , 
2020/6/8, 37, 36, , , , 
2020/6/9, 47, 54, , , , 
2020/6/10, 71, 23, , , , 
2020/6/11, 52, 25, , , , 
2020/6/12, 52, 30, , , , 
2020/6/13, 50, 24, , , , 
2020/6/14, 44, 22, , , , 
2020/6/15, 47, 28, , , , 
2020/6/16, 50, , , , , 
2020/6/18, 45, 28, , , , 
2020/6/19, 47, 32, , , , 
2020/6/20, 49, 26, , , , 
2020/6/21, 53, 28, , , , 
2020/6/22, 57, 39, , , , 
2020/6/23, 61, 43, , , , 
2020/6/24, 70, 50, , , , 
2020/6/25, 72, , , , , 
2020/5/2, 52, 39, , , , 
2020/5/3, 62, 36, , , , 
2020/5/4, 65, 37, , , , 
2020/5/5, 67, 51, , , , 
2020/5/6, 87, 24, , , , 
2020/5/7, 49, 28, , , , 
2020/5/8, 53, 43, , , , 
2020/5/9, 70, 21, , , , 
2020/5/10, 42, 20, , , , 
2020/5/11, 54, 23, , , , 
2020/5/12, 33, 31, , , , 
2020/5/13, 61, 32, , , , 
2020/5/14, 60, 21, , , , 
2020/5/15, 50, 46, , , , 
2020/5/16, 97, 42, , , , 
2020/5/17, 85, 28, , , , 
2020/5/18, 52, 37, , , , 
2020/5/19, 55, 43, , , , 
2020/5/20, 65, 52, , , , 
2020/5/21, 77, 43, , , , 
2020/5/22, 93, 40, , , , 
2020/5/23, 80, 34, , , , 
2020/5/24, 66, 25, , , , 
2020/5/25, 60, 32, , , , 
2020/5/26, 64, 17, , , , 
2020/5/27, 46, 31, , , , 
2020/5/28, 51, 40, , , , 
2020/5/29, 66, 29, , , , 
2020/5/30, 37, 28, , , , 
2020/5/31, 49, 25, , , , 
2020/6/1, 52, 31, , , , 
2020/4/2, 56, 48, 44, , 13, 
2020/4/3, 77, 48, 22, , 9, 
2020/4/4, 77, 39, 20, , 9, 
2020/4/5, 68, 20, 18, , 9, 
2020/4/6, 52, 39, 34, , 9, 
2020/4/7, 72, 39, 41, , 10, 
2020/4/8, 83, 50, 37, , 10, 
2020/4/9, 68, 39, , , , 
2020/4/10, 67, 23, , , , 
2020/4/11, 70, 34, , , , 
2020/4/12, 72, 59, , , , 
2020/4/13, 48, 58, , , , 
2020/4/14, 67, 29, , , , 
2020/4/15, 66, 5, , , , 
2020/4/16, 28, 18, , , , 
2020/4/17, 45, 38, , , , 
2020/4/18, 71, 27, , , , 
2020/4/19, 60, 37, , , , 
2020/4/20, 36, 41, , , , 
2020/4/21, 60, 57, , , , 
2020/4/22, 129, 57, , , , 
2020/4/23, 126, 39, , , , 
2020/4/24, 70, 49, , , , 
2020/4/25, 68, 57, , , , 
2020/4/26, 95, 16, , , , 
2020/4/27, 56, 29, , , , 
2020/4/28, 59, 41, , , , 
2020/4/29, 73, 38, , , , 
2020/4/30, 48, 22, , , , 
2020/5/1, 49, 36, , , , 
2020/3/2, 70, 67, 20, , 10, 12
2020/3/3, 68, 86, 19, , 12, 10
2020/3/4, 119, 87, 31, , 6, 5
2020/3/5, 72, 36, 37, , 11, 6
2020/3/6, 33, 35, 39, , 9, 6
2020/3/7, 31, 44, 37, , 8, 6
2020/3/8, 56, 41, 31, , 7, 4
2020/3/9, 77, 49, 23, , 8, 4
2020/3/10, 76, 64, 23, , 10, 6
2020/3/11, 93, 49, 34, , 7, 3
2020/3/12, 82, 66, 50, , 12, 6
2020/3/13, 86, 73, 58, , 18, 5
2020/3/14, 91, 67, 57, , 18, 2
2020/3/15, 107, 51, 6, , 8, 
2020/3/16, 57, , , , , 
2020/3/21, 65, 20, 13, , 7, 1
2020/3/22, 49, 42, 22, , 11, 1
2020/3/23, 91, 62, 55, , 12, 1
2020/3/24, 108, 69, 56, , 14, 3
2020/3/25, 89, 47, 56, , 9, 
2020/3/26, 66, 62, 59, , 19, 1
2020/3/27, 93, 72, 62, , 20, 3
2020/3/28, 90, 65, 35, , 11, 
2020/3/29, 77, 43, 26, , 10, 
2020/3/30, 68, 74, 50, , 16, 1
2020/3/31, 122, 55, 46, , 11, 2
2020/4/1, 75, 38, 33, , 10, 
2020/2/2, 117, 66, 37, , 17, 11
2020/2/3, 103, 70, 24, , 16, 11
2020/2/4, 106, 69, 26, , 16, 11
2020/2/5, 58, 73, 11, , 14, 8
2020/2/6, 68, 127, 32, , 12, 8
2020/2/7, 61, 79, 32, , 18, 17
2020/2/8, 94, 73, 36, , 17, 13
2020/2/9, 79, 48, 57, , 16, 17
2020/2/10, 75, 68, 44, , 8, 10
2020/2/11, 85, 56, 10, , 6, 6
2020/2/12, 77, 55, 6, , 6, 7
2020/2/13, 95, 54, 30, , 4, 8
2020/2/14, 69, 33, 26, , 3, 5
2020/2/15, 62, 57, 27, , 8, 7
2020/2/16, 103, 69, 58, , 11, 11
2020/2/17, 120, 76, 55, , 11, 12
2020/2/18, 101, 77, 34, , 6, 9
2020/2/19, 99, 37, 8, , 4, 4
2020/2/20, 70, 28, 7, , 7, 4
2020/2/21, 63, 29, 24, , 6, 4
2020/2/22, 60, 27, 24, , 6, 3
2020/2/23, 61, 65, 29, , 16, 11
2020/2/24, 110, 61, 35, , 9, 6
2020/2/25, 79, 60, 44, , 9, 6
2020/2/26, 67, 49, 33, , 7, 7
2020/2/29, 54, 56, 38, , 11, 12
2020/3/1, 80, 54, 60, , 16, 9
2020/1/2, 79, 23, 1, , 10, 8
2020/1/3, 29, 32, 2, , 11, 7
2020/1/4, 23, 18, , , 13, 7
2020/1/5, 30, 61, , , 8, 4
2020/1/6, 49, 93, , , , 1
2020/1/7, 31, 50, , , , 
