date, pm25, pm10, o3, no2, so2, co
2020/6/2, 47, 24, 29, , 4, 24
2020/6/3, 41, 28, 31, , 3, 24
2020/6/4, 46, 33, 36, , 3, 24
2020/6/5, 52, 38, 26, , 3, 24
2020/6/6, 47, 33, 35, , 4, 24
2020/6/7, 40, 27, 52, , 3, 24
2020/6/8, 38, , 69, , 4, 25
2020/6/9, 46, , 58, , 5, 27
2020/6/10, 64, 32, 45, , 3, 25
2020/6/11, 46, 33, 29, , 3, 26
2020/6/12, 45, 43, 54, , 5, 26
2020/6/13, 49, 29, 84, , 4, 24
2020/6/14, 50, 27, 77, , 5, 24
2020/6/15, 50, 33, 41, , 4, 25
2020/6/16, 54, 16, 16, , 3, 25
2020/6/17, 9, 30, 21, , 3, 25
2020/6/18, 51, 37, 37, , 3, 25
2020/6/19, 61, 42, 43, , 5, 26
2020/6/20, 58, 37, 41, , 3, 26
2020/6/21, 55, 41, 46, , 4, 26
2020/6/22, 49, 47, 71, , 4, 26
2020/6/23, 63, 54, 44, , 4, 26
2020/6/24, 78, 54, 55, , 4, 26
2020/6/25, 76, , , , , 
2020/5/2, 51, 44, 67, , 5, 26
2020/5/3, 59, 43, 58, , 5, 25
2020/5/4, 61, 44, 59, , 6, 27
2020/5/5, 61, 54, 63, , 6, 27
2020/5/6, 85, 31, 57, , 4, 24
2020/5/7, 41, 29, 40, , 3, 24
2020/5/8, 42, 45, 62, , 5, 26
2020/5/9, 64, 25, 37, , 3, 24
2020/5/10, 36, 26, 36, , 3, 23
2020/5/11, 42, 24, 32, , 3, 23
2020/5/12, 33, 36, 51, , 3, 25
2020/5/13, 52, 39, 29, , 3, 24
2020/5/14, 62, 33, 31, , 3, 24
2020/5/15, 52, 60, 48, , 3, 26
2020/5/16, 108, 56, 53, , 3, 25
2020/5/17, 81, 33, 55, , 7, 24
2020/5/18, 54, 40, 60, , 5, 26
2020/5/19, 54, 46, 79, , 6, 26
2020/5/20, 60, 56, 66, , 5, 27
2020/5/21, 83, 55, 32, , 3, 25
2020/5/22, 102, 47, 56, , 4, 26
2020/5/23, 69, 39, 38, , 3, 24
2020/5/24, 68, 33, 42, , 3, 24
2020/5/25, 55, 40, 41, , 4, 25
2020/5/26, 58, 28, 40, , 3, 25
2020/5/27, 46, 30, 39, , 3, 24
2020/5/28, 46, 39, 38, , 4, 25
2020/5/29, 57, 30, 42, , 4, 24
2020/5/30, 41, 27, 44, , 4, 25
2020/5/31, 38, 27, 50, , 4, 24
2020/6/1, 42, 26, 42, , 3, 25
2020/4/2, 52, 54, 43, , 5, 26
