date, pm25, pm10, o3, no2, so2, co
2020/6/2, 41, 24, , , , 
2020/6/3, 41, 27, , , , 
2020/6/4, 46, 29, , , , 
2020/6/5, 48, 33, , , , 
2020/6/6, 56, 31, , , , 
2020/6/7, 52, 24, , , , 
2020/6/8, 42, 33, , , , 
2020/6/9, 52, 42, , , , 
2020/6/10, 66, 31, , , , 
2020/6/11, 53, 30, , , , 
2020/6/12, 59, 40, , , , 
2020/6/13, 60, 39, , , , 
2020/6/14, 63, 32, , , , 
2020/6/15, 59, 35, , , , 
2020/6/16, 57, 21, , , , 
2020/6/17, 35, 18, , , , 
2020/6/18, 37, , , , , 
2020/5/3, 66, 33, , , , 
2020/5/4, 66, 45, , , , 
2020/5/5, 75, 56, , , , 
2020/5/6, 100, 28, , , , 
2020/5/7, 49, 39, , , , 
2020/5/8, 59, 39, , , , 
2020/5/9, 72, , , , , 
2020/5/11, 84, 25, , , , 
2020/5/12, 46, 28, , , , 
2020/5/13, 54, 32, , , , 
2020/5/14, 61, 46, , , , 
2020/5/15, 81, 51, , , , 
2020/5/16, 105, 42, , , , 
2020/5/17, 83, 31, , , , 
2020/5/18, 61, 32, , , , 
2020/5/19, 57, 41, , , , 
2020/5/20, 68, 49, , , , 
2020/5/21, 87, 54, , , , 
2020/5/22, 117, 41, , , , 
2020/5/23, 78, 42, , , , 
2020/5/24, 77, 30, , , , 
2020/5/25, 67, 33, , , , 
2020/5/26, 70, 20, , , , 
2020/5/27, 44, 33, , , , 
2020/5/28, 59, 38, , , , 
2020/5/29, 66, 29, , , , 
2020/5/30, 41, 35, , , , 
2020/5/31, 67, 24, , , , 
2020/6/1, 55, 22, , , , 
2020/4/2, 61, 43, , , , 
2020/4/3, 76, 50, , , , 
2020/4/4, 79, 27, , , , 
2020/4/5, 52, 32, , , , 
2020/4/6, 80, 24, , , , 
2020/4/7, 60, 31, , , , 
2020/4/8, 67, 40, , , , 
2020/4/9, 75, 43, , , , 
2020/4/10, 76, 28, , , , 
2020/4/11, 63, 37, , , , 
2020/4/12, 79, 41, , , , 
2020/4/13, 63, 37, , , , 
2020/4/14, 48, 31, , , , 
2020/4/15, 59, 19, , , , 
2020/4/16, 54, 20, , , , 
2020/4/17, 42, 36, , , , 
2020/4/18, 64, 39, , , , 
2020/4/19, 64, 41, , , , 
2020/4/20, 65, 43, , , , 
2020/4/21, 62, 58, , , , 
2020/4/22, 142, 58, , , , 
2020/4/23, 136, 40, , , , 
2020/4/24, 60, 59, , , , 
2020/4/25, 109, , , , , 
2020/4/28, 66, 46, , , , 
2020/4/29, 83, 38, , , , 
2020/4/30, 55, 36, , , , 
2020/5/1, 55, , , , , 
2020/3/2, 57, 59, , , , 
2020/3/3, 76, 63, , , , 
2020/3/4, 105, 55, , , , 
2020/3/5, 56, 19, , , , 
2020/3/6, 20, 44, , , , 
2020/3/7, 48, 42, , , , 
2020/3/9, 66, 39, , , , 
2020/3/10, 68, 47, , , , 
2020/3/11, 67, 47, , , , 
2020/3/12, 77, 53, , , , 
2020/3/13, 68, 57, , , , 
2020/3/14, 60, 61, , , , 
2020/3/21, 55, 14, , , , 
2020/3/22, 39, 30, , , , 
2020/3/23, 45, 47, , , , 
2020/3/24, 81, 53, , , , 
2020/3/25, 67, 58, , , , 
2020/3/26, 71, 58, , , , 
2020/3/27, 89, 59, , , , 
2020/3/28, 74, 59, , , , 
2020/3/29, 74, 38, , , , 
2020/3/30, 57, 46, , , , 
2020/3/31, 78, 46, , , , 
2020/4/1, 58, 45, , , , 
2020/2/2, 78, 63, 1, , 1, 1
2020/2/3, 100, 62, , , 1, 1
2020/2/4, 102, 89, , , 1, 1
2020/2/5, 84, 55, 1, , 2, 1
2020/2/6, 50, 65, , , 2, 1
2020/2/7, 45, 67, , , , 
2020/2/8, 76, 53, , , , 
2020/2/9, 72, 45, , , , 
2020/2/10, 85, 60, , , , 
2020/2/11, 86, 42, , , , 
2020/2/12, 58, 28, , , , 
2020/2/13, 72, 42, , , , 
2020/2/14, 60, 39, , , , 
2020/2/15, 69, 48, , , , 
2020/2/16, 86, 75, , , , 
2020/2/17, 119, 58, , , , 
2020/2/18, 78, 58, , , , 
2020/2/19, 77, 21, , , , 
2020/2/20, 53, 17, , , , 
2020/2/21, 38, 20, , , , 
2020/2/22, 57, 28, , , , 
2020/2/23, 56, 48, , , , 
2020/2/24, 91, 62, , , , 
2020/2/25, 79, 49, , , , 
2020/2/26, 49, 37, , , , 
2020/2/27, 28, 34, , , , 
2020/2/28, 35, 49, , , , 
2020/2/29, 46, 43, , , , 
2020/3/1, 52, 46, , , , 
2020/1/2, 102, 31, 1, , 2, 1
2020/1/3, 50, 34, 2, , 3, 2
2020/1/4, 35, 39, , , 1, 1
2020/1/5, 62, 74, , , , 
2020/1/6, 90, 119, , , , 
2020/1/7, 42, 37, , , , 
2020/1/8, 9, 51, , , , 
2020/1/9, 14, 88, , , , 
2020/1/10, 37, 105, , , , 
2020/1/11, 42, 50, , , , 
2020/1/12, 9, 58, , , , 
2020/1/13, 24, 114, , , , 
2020/1/14, 39, 148, , , , 
2020/1/15, 50, 109, , , , 
2020/1/16, 49, 57, , , , 
2020/1/17, 25, 24, , , , 
2020/1/18, 16, 35, , , , 
2020/1/19, 22, 18, , , , 
2020/1/20, 8, 30, , , , 
2020/1/21, 8, 21, , , , 
2020/1/22, 9, 47, , , , 
2020/1/23, 35, 77, , , , 
2020/1/24, 30, 38, , , , 
2020/1/25, 13, 44, , , , 
2020/1/26, 29, 93, , , , 
2020/1/27, 32, 58, , , , 
2020/1/28, 18, 42, , , , 
2020/1/29, 12, 73, , , , 
2020/1/30, 11, 48, , , , 
2020/1/31, 17, 53, , , , 
2020/2/1, 26, 48, , , 1, 1
2019/10/2, 7, 33, , , , 2
2019/10/3, 10, 35, , , , 2
2019/10/4, 10, 38, , , , 2
2019/10/5, 11, 49, , , , 2
2019/10/6, 14, 39, , , , 2
2019/10/7, 13, 31, , , , 2
2019/10/8, 9, 46, , , , 2
