FECHA,PARAM,NE,CE,NO2,SE3,SO2,N2,N,SE2,SUR,NE2,NO,SE,SO
2017-01-01,O3,,,,,,,,,,,,,
2017-01-01,CO,,,,,,,,,,,,,
2017-01-01,PM10,,,,,,,,,,,,,
2017-01-01,PM25,,,,,,,,,,,,,
2017-01-01,SO2,,,,,,,,,,,,,
2017-01-01,NO2,,,,,,,,,,,,,
2017-01-02,O3,,,,,,,,,,,,,
2017-01-02,CO,,,,,,,,,,,,,
2017-01-02,PM10,,,,,,,,,,,,,
2017-01-02,PM25,,,,,,,,,,,,,
2017-01-02,SO2,,,,,,,,,,,,,
2017-01-02,NO2,,,,,,,,,,,,,
2017-01-03,O3,,,,,,,,,,,,,
2017-01-03,CO,,,,,,,,,,,,,
2017-01-03,PM10,,,,,,,,,,,,,
2017-01-03,PM25,,,,,,,,,,,,,
2017-01-03,SO2,,,,,,,,,,,,,
2017-01-03,NO2,,,,,,,,,,,,,
2017-01-04,O3,,,,,,,,,,,,,
2017-01-04,CO,,,,,,,,,,,,,
2017-01-04,PM10,,,,,,,,,,,,,
2017-01-04,PM25,,,,,,,,,,,,,
2017-01-04,SO2,,,,,,,,,,,,,
2017-01-04,NO2,,,,,,,,,,,,,
2017-01-05,O3,,,,,,,,,,,,,
2017-01-05,CO,,,,,,,,,,,,,
2017-01-05,PM10,,,,,,,,,,,,,
2017-01-05,PM25,,,,,,,,,,,,,
2017-01-05,SO2,,,,,,,,,,,,,
2017-01-05,NO2,,,,,,,,,,,,,
2017-01-06,O3,,,,,,,,,,,,,
2017-01-06,CO,,,,,,,,,,,,,
2017-01-06,PM10,,,,,,,,,,,,,
2017-01-06,PM25,,,,,,,,,,,,,
2017-01-06,SO2,,,,,,,,,,,,,
2017-01-06,NO2,,,,,,,,,,,,,
2017-01-07,O3,,,,,,,,,,,,,
2017-01-07,CO,,,,,,,,,,,,,
2017-01-07,PM10,,,,,,,,,,,,,
2017-01-07,PM25,,,,,,,,,,,,,
2017-01-07,SO2,,,,,,,,,,,,,
2017-01-07,NO2,,,,,,,,,,,,,
2017-01-08,O3,,,,,,,,,,,,,
2017-01-08,CO,,,,,,,,,,,,,
2017-01-08,PM10,,,,,,,,,,,,,
2017-01-08,PM25,,,,,,,,,,,,,
2017-01-08,SO2,,,,,,,,,,,,,
2017-01-08,NO2,,,,,,,,,,,,,
2017-01-09,O3,,,,,,,,,,,,,
2017-01-09,CO,, 2,,, 1,, 2,,,,, 1,
2017-01-09,PM10,, 92,,,,,,,,,, 64,
2017-01-09,PM25,,,,,,,,,,,,,
2017-01-09,SO2,,,,,,,,,,,,,
2017-01-09,NO2,,,,,,,,,,,,,
2017-01-10,O3,,,,,,,,,,,,,
2017-01-10,CO, 3, 2,,, 1,, 2,,, 1, 1, 1,
2017-01-10,PM10, 113, 114, 192,, 118,, 109, 117,, 86, 176, 72, 175
2017-01-10,PM25,, 62,,,,,,,,,, 31,
2017-01-10,SO2,,,,,,,,,,,,,
2017-01-10,NO2,,,,,,,,,,,,,
2017-01-11,O3,,,,,,,,,,,,,
2017-01-11,CO, 3, 2,,, 1,, 2,,, 2,, 2, 1
2017-01-11,PM10, 133, 143, 202,, 95,, 88, 173,, 161, 134, 80, 153
2017-01-11,PM25,, 40,,,,,,,,,, 31, 19
2017-01-11,SO2,,,,,,,,,,,,,
2017-01-11,NO2,,,,,,,,,,,,,
2017-01-12,O3,,,,,,,,,,,,,
