date, pm25, pm10, o3, no2, so2, co
2020/6/2, 103, 22, , , , 
2020/6/3, 109, 27, , , , 
2020/6/4, 96, 30, , , , 
2020/6/5, 77, 30, , , , 
2020/6/6, 73, 30, , , , 
2020/6/7, 63, 24, , , , 
2020/6/8, 51, 40, , , , 
2020/6/9, 45, 113, , , , 
2020/6/10, 64, 30, , , , 
2020/6/11, 57, 35, , , , 
2020/6/12, 68, 43, , , , 
2020/6/13, 50, 32, , , , 
2020/6/14, 45, 29, , , , 
2020/6/15, 55, 39, , , , 
2020/6/16, 82, 17, , , , 
2020/6/18, 73, 29, , , , 
2020/6/19, 68, 26, , , , 
2020/6/20, 72, 23, , , , 
2020/6/21, 70, 26, , , , 
2020/6/22, 68, 33, , , , 
2020/6/23, 68, 39, , , , 
2020/6/24, 70, 39, , , , 
2020/6/25, 61, , , , , 
2020/5/2, 55, 35, , , , 
2020/5/3, 75, 34, , , , 
2020/5/4, 40, 38, , , , 
2020/5/5, 59, , , , , 
2020/5/7, 9, 32, , , , 
2020/5/8, 10, 39, , , , 
2020/5/9, 10, 27, , , , 
2020/5/10, 9, 22, , , , 
2020/5/11, 10, 23, , , , 
2020/5/12, 11, 32, , , , 
2020/5/13, 11, 34, , , , 
2020/5/14, 52, 23, , , , 
2020/5/15, 33, 51, , , , 
2020/5/16, 27, 47, , , , 
2020/5/17, 44, 31, , , , 
2020/5/18, 17, 40, , , , 
2020/5/19, 25, 50, , , , 
2020/5/20, 91, 49, , , , 
2020/5/21, 138, 53, , , , 
2020/5/26, 17, 25, , , , 
2020/5/27, 32, 32, , , , 
2020/5/28, 41, 33, , , , 
2020/5/29, 29, 34, , , , 
2020/5/30, 25, 29, , , , 
2020/5/31, 14, 23, , , , 
2020/6/1, 17, 27, , , , 
2020/4/2, 72, 40, 36, 18, 13, 6
2020/4/3, 64, 46, 22, 19, 12, 3
2020/4/4, 137, 28, 10, 29, 7, 3
2020/4/5, 163, 10, 8, 35, 6, 3
2020/4/7, 79, 34, 38, 38, 5, 6
2020/4/8, 68, 44, 37, 29, 7, 7
2020/4/9, 81, 46, 38, 52, 19, 9
2020/4/10, 90, 30, 13, , 6, 2
2020/4/11, 48, , , , , 
2020/4/13, 19, , 18, , 61, 47
2020/4/16, 45, 21, 14, , 10, 3
2020/4/17, 35, 40, 39, , , 7
2020/4/18, 68, 36, 32, , , 5
2020/4/19, 60, 39, 23, , , 8
2020/4/20, 62, 47, , , , 44
2020/4/21, 66, 62, , , , 
2020/4/22, 50, 57, , , , 
2020/4/23, 9, 47, , , , 
2020/4/24, 9, 60, , , , 
2020/4/25, 9, 63, , , , 
2020/4/26, 9, 22, , , , 
2020/4/27, 10, 35, , , , 
2020/4/28, 9, 49, , , , 
2020/4/29, 9, 49, , , , 
2020/5/1, 45, 32, , , , 
2020/3/2, 67, 51, , 41, 8, 8
2020/3/3, 86, 64, , 49, 9, 12
2020/3/4, 111, 65, , 72, 13, 12
2020/3/5, 82, 59, , 73, 7, 7
2020/3/6, 49, 25, , 65, 7, 5
2020/3/7, 62, 45, , 50, 11, 7
2020/3/8, 61, 37, , 46, 7, 5
2020/3/9, 64, 34, , 49, 8, 6
2020/3/10, 62, 46, , 58, 8, 8
2020/3/11, 66, 46, , 47, 7, 7
2020/3/12, 72, 53, , 58, 9, 9
2020/3/13, 68, 54, , 59, 10, 9
2020/3/14, 86, 57, , 58, 8, 7
2020/3/15, 110, 34, , 46, 14, 6
2020/3/16, 53, , , , , 
2020/3/21, 72, 30, , 50, 14, 7
2020/3/22, 53, 36, , 45, 8, 6
2020/3/23, 46, 43, , 45, 9, 7
2020/3/24, 82, 48, , 98, 32, 25
2020/3/25, 73, 56, , , , 
2020/3/26, 110, 56, , , , 
2020/3/27, 95, 53, , , , 
2020/3/28, 94, 55, , , , 
2020/3/29, 91, 39, , , , 
2020/3/30, 110, 55, , , , 
2020/3/31, 129, 48, , , , 
2020/4/1, 77, 40, , , , 
2020/2/3, 96, 46, , 20, 30, 12
2020/2/4, 102, 66, , 42, 29, 13
2020/2/5, 88, 71, , 47, 39, 19
2020/2/6, 72, 63, , 59, 32, 10
2020/2/7, 62, 80, , 29, 25, 6
2020/2/8, 73, 69, , 37, 32, 12
2020/2/9, 72, 59, , 37, 31, 17
2020/2/10, 73, 41, , 39, 15, 7
2020/2/11, 96, 61, , 47, 10, 11
2020/2/12, 85, 51, 16, 77, 7, 9
2020/2/13, 71, 43, 40, 40, 8, 9
2020/2/14, 85, 52, 34, 41, 13, 10
2020/2/15, 67, 34, 57, 32, 13, 4
2020/2/16, 79, 47, 92, 47, 9, 8
2020/2/17, 108, 63, 63, 36, 14, 12
2020/2/18, 90, 63, 85, 50, 16, 13
2020/2/19, 86, 57, , 46, 13, 10
2020/2/20, 62, 35, , 52, 9, 8
2020/2/21, 46, 29, , 57, 7, 8
2020/2/22, 62, 30, , 31, 5, 4
2020/2/23, 59, 32, , 28, 8, 4
2020/2/24, 78, 48, , 39, 10, 9
2020/2/25, 79, 74, , 58, 15, 15
2020/2/26, 61, 50, , 54, 9, 7
2020/2/27, 39, 51, , 59, 2, 4
2020/2/28, 67, 35, , 49, 9, 5
2020/2/29, 74, 52, , 54, 12, 7
2020/3/1, 65, 48, , 54, 9, 6
2020/1/2, 85, 31, , , 23, 7
2020/1/3, 52, 35, , , 18, 4
2020/1/4, 33, 41, , , 23, 4
2020/1/5, 61, 58, , , 25, 10
2020/1/6, 94, 73, , , 25, 14
2020/1/7, 89, 43, , , 22, 4
2020/1/8, 51, 44, , , 23, 7
